ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);TOTALRUNTIME(seconds);TOTALRUNTIME(time)
1;88;3;9.019;9.02;0:00:09
2;108;4;6.509;15.5;0:00:15
3;116;7;10.358;25.9;0:00:25
4;90;1;2.584;28.5;0:00:28
5;87;4;5.697;34.2;0:00:34
6;88;1;3.991;38.2;0:00:38
7;110;3;6.4;44.6;0:00:44
8;111;1;4.115;48.7;0:00:48
9;112;1;5.416;54.1;0:00:54
10;111;1;3.624;57.7;0:00:57
