ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);TOTALRUNTIME(seconds);TOTALRUNTIME(time)
1;94;1;5.062;5.06;0:00:05
2;112;2;4.34;9.4;0:00:09
3;118;3;4.739;14.1;0:00:14
4;91;1;1.553;15.7;0:00:15
5;88;3;4.209;19.9;0:00:19
