ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);TOTALRUNTIME(seconds);TOTALRUNTIME(time)
1;88;1;2.447;2.45;0:00:02
2;89;1;3.053;5.5;0:00:05
3;111;2;4.236;9.74;0:00:09
4;119;1;2.068;11.8;0:00:11
5;93;1;1.162;13.0;0:00:12
