ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);TOTALRUNTIME(seconds);TOTALRUNTIME(time)
1;88;3;4.32;4.32;0:00:04
2;118;2;2.872;7.19;0:00:07
3;92;3;1.961;9.15;0:00:09
4;88;2;3.023;12.2;0:00:12
5;94;1;3.088;15.3;0:00:15
6;95;1;3.697;19.0;0:00:18
7;102;3;6.405;25.4;0:00:25
8;118;5;8.572;33.9;0:00:33
9;127;3;7.573;41.5;0:00:41
10;149;3;7.946;49.5;0:00:49
