ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);TOTALRUNTIME(seconds);TOTALRUNTIME(time)
1;88;1;4.454;4.45;0:00:04
2;116;1;2.78;7.23;0:00:07
3;90;5;6.31;13.5;0:00:13
4;91;3;4.658;18.2;0:00:18
5;89;2;1.864;20.1;0:00:20
