HORN RULES (filtered)
Bergen & kvinne ---> Sør Amerika
Europa & kvinne & mellom 40 og 50 ---> Stavanger
Europa & kvinne & mellom 40 og 50 ---> sykepleier
frisør ---> mann
kvinne & psykolog ---> Asia
kvinne & psykolog ---> Kristiansand
Ålesund ---> Sør Amerika
Ålesund ---> kvinne
Bodø & kvinne ---> FALSE
Nord Amerika & kvinne & sykepleier ---> FALSE
arkitekt & kvinne ---> FALSE
elektriker & kvinne ---> FALSE
kvinne & eldre enn 60 ---> FALSE
kvinne & mellom 50 og 60 ---> FALSE
kvinne & rørlegger ---> FALSE
mellom 20 og 30 & Trondheim & Asia & kvinne & sykepleier ---> FALSE
mellom 30 og 40 & kvinne ---> FALSE
politiker & kvinne ---> FALSE
sveiser & Tromsø & Nord Amerika & mann ---> FALSE
yngre enn 20 & kvinne ---> FALSE
