ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;94;1;0.916
2;108;3;2.011
3;116;1;1.276
4;118;2;1.380
5;92;1;0.530
6;87;1;0.790
7;100;2;1.589
8;107;1;1.426
9;104;1;1.736
10;105;4;3.176
11;101;5;2.953
12;125;2;2.347
13;132;1;2.304
14;129;1;2.339
15;125;1;1.555
16;134;1;2.287
17;141;2;3.219
18;151;1;2.689
19;148;3;3.589
20;149;1;2.648
21;163;1;3.165
22;123;2;2.320
23;145;2;3.741
24;141;2;2.527
25;142;2;3.592
26;143;1;3.475
27;163;5;5.813
28;179;4;5.699
29;187;4;5.915
30;194;4;6.061
31;173;2;3.460
32;187;1;5.042
33;188;4;6.627
34;210;2;6.237
35;225;6;8.446
36;205;2;4.478
37;202;2;4.548
38;209;1;6.939
39;208;7;7.298
40;209;3;8.788
41;205;1;4.606
42;194;1;7.276
43;210;1;7.088
44;208;2;4.648
45;208;5;9.474
46;209;1;7.666
47;189;2;4.796
48;205;2;8.822
49;212;4;9.715
50;209;1;4.533
51;188;4;5.774
52;169;8;7.390
53;178;1;7.673
54;185;1;8.389
55;198;3;9.434
56;195;2;4.629
57;174;2;4.387
58;173;2;8.897
59;182;7;11.477
60;181;7;6.776
61;187;1;8.869
62;186;1;3.918
63;184;1;3.789
64;190;3;10.285
65;189;1;3.950
66;190;7;12.539
67;190;7;12.554
68;205;5;13.865
69;202;1;10.950
70;212;2;10.983
71;190;2;5.024
72;196;2;11.344
73;197;2;11.202
74;177;5;6.500
75;197;2;10.736
76;192;2;10.108
77;174;7;6.608
78;181;2;10.142
79;188;2;10.732
80;186;2;4.859
81;183;3;11.336
82;197;13;16.614
83;209;1;10.765
84;218;7;15.160
85;217;1;4.870
86;218;5;14.867
87;215;3;6.404
88;216;1;11.843
89;217;2;12.704
90;224;4;13.946
91;222;5;14.557
92;221;1;5.301
93;235;1;12.491
94;226;10;17.576
95;221;3;12.966
96;201;2;5.044
97;210;2;13.699
98;209;4;6.260
99;216;3;14.031
100;217;1;12.557
101;199;1;4.981
102;217;5;17.142
103;218;3;14.715
104;200;1;5.268
105;181;3;14.357
106;178;4;5.901
107;180;7;14.745
108;179;3;5.411
109;193;1;14.227
110;193;1;14.002
111;191;3;5.760
112;211;3;15.165
113;209;2;5.529
114;211;1;15.131
115;211;13;21.002
116;217;8;19.390
117;217;4;17.360
118;218;1;16.643
119;224;3;17.211
120;204;2;5.958
121;202;3;6.033
122;209;8;17.979
123;218;3;16.087
124;226;1;15.934
125;227;1;17.658
126;227;11;22.910
127;209;3;6.751
128;207;3;6.570
129;207;3;17.123
130;208;5;20.062
131;206;5;19.246
132;207;8;19.555
133;206;9;9.754
134;213;6;19.897
135;220;2;18.772
136;219;5;18.884
137;228;2;17.365
138;235;1;20.405
139;235;4;19.925
140;221;5;9.031
141;214;1;19.631
142;210;2;17.660
143;209;6;8.866
144;218;1;17.256
145;219;1;18.457
146;220;2;20.261
147;205;5;19.596
148;204;3;7.564
149;205;6;21.403
150;204;2;7.230
151;200;2;17.900
152;212;1;19.588
153;213;1;19.500
154;210;5;8.982
155;207;5;18.997
156;207;3;17.973
157;216;6;20.390
158;233;2;19.553
159;219;2;19.557
160;218;2;7.724
161;225;2;20.287
162;218;1;19.412
163;217;7;10.290
164;226;1;19.475
165;235;7;23.845
166;226;1;20.143
167;233;3;21.283
168;235;3;21.590
169;244;1;21.655
170;252;4;23.600
171;253;7;25.802
172;249;7;26.365
173;251;1;24.925
174;245;2;24.795
175;253;2;25.740
176;251;4;10.639
177;251;1;25.560
178;250;8;12.888
179;243;2;25.587
180;231;1;24.959
181;233;6;30.054
182;232;2;9.217
183;229;10;13.000
184;230;4;25.866
185;228;4;9.778
186;242;2;27.017
187;251;1;27.987
188;253;1;29.294
189;252;2;27.521
190;261;2;27.279
191;255;5;28.919
192;268;5;31.853
193;275;1;31.246
194;276;1;29.036
195;275;7;14.334
196;274;5;13.041
197;269;1;31.939
198;254;1;9.928
199;240;1;9.571
200;247;3;29.469
