COUNT;HORN RULES (filtered)
1/6;frisør & Trondheim & mann ---> eldre enn 60
1/6;mellom 20 og 30 & rørlegger ---> kvinne
1/6;mellom 30 og 40 & Europa ---> mann
1/6;psykolog & Bergen & mann ---> Asia
1/6;psykolog & Bergen & mann ---> eldre enn 60
1/6;psykolog & Oslo & mann ---> eldre enn 60
1/6;psykolog & Sør Amerika ---> kvinne
1/6;yngre enn 20 & Asia ---> mann
1/6;yngre enn 20 & Tromsø ---> frisør
1/6;yngre enn 20 & Tromsø ---> mann
1/6;Ålesund & Afrika & kvinne ---> mellom 40 og 50
1/6;Ålesund & Afrika & kvinne ---> psykolog
1/6;Bodø & Afrika & kvinne & mellom 40 og 50 ---> FALSE
1/6;Stavanger & Nord Amerika & mann & mellom 40 og 50 & rørlegger ---> FALSE
1/6;frisør & Oslo & mellom 30 og 40 & Sør Amerika & mann ---> FALSE
1/6;kvinne & mellom 50 og 60 & rørlegger ---> FALSE
1/6;mellom 20 og 30 & Kristiansand & Sør Amerika & mann & elektriker ---> FALSE
1/6;mellom 20 og 30 & psykolog & Europa & mann ---> FALSE
1/6;mellom 20 og 30 & psykolog & Ålesund & Australia & mann ---> FALSE
1/6;psykolog & Kristiansand & Asia & mann ---> FALSE
1/6;sykepleier & Europa & mann & mellom 40 og 50 ---> FALSE
1/6;sykepleier & Stavanger & mann ---> FALSE
1/6;sykepleier & Tromsø & Nord Amerika & mann & eldre enn 60 ---> FALSE
1/6;sykepleier & Trondheim & mann ---> FALSE
1/6;sykepleier & mellom 30 og 40 & mann ---> FALSE
1/6;sykepleier & Ålesund & mann ---> FALSE
1/6;yngre enn 20 & Stavanger & Afrika & mann & rørlegger ---> FALSE
1/6;yngre enn 20 & kvinne & advokat ---> FALSE
1/6;yngre enn 20 & sykepleier & Oslo & Europa & mann ---> FALSE
1/6;Ålesund & kvinne & mellom 50 og 60 ---> FALSE
