COUNT;HORN RULES (filtered)
2/72;Kristiansand & mellom 30 og 40 & kvinne ---> modell
2/72;Stavanger & mellom 30 og 40 & Europa & kvinne ---> modell
2/72;Sør Amerika & eldre enn 60 ---> mann
2/72;frisør & mann & eldre enn 60 ---> Tromsø
2/72;Bergen & Nord Amerika & kvinne ---> FALSE
2/72;Kristiansand & Afrika & kvinne & mellom 40 og 50 ---> FALSE
2/72;Oslo & mellom 30 og 40 & kvinne ---> FALSE
2/72;Trondheim & mellom 30 og 40 & Afrika & kvinne ---> FALSE
2/72;frisør & Bergen & Australia & mann ---> FALSE
2/72;Sør Amerika & kvinne & mellom 40 og 50 ---> frisør
2/72;frisør & Bodø & mann ---> FALSE
2/72;mellom 20 og 30 & Stavanger & Afrika & kvinne ---> FALSE
2/72;Bergen & Afrika & kvinne ---> frisør
2/72;yngre enn 20 & Asia & kvinne ---> frisør
2/72;Ålesund & Nord Amerika & kvinne ---> yngre enn 20
2/72;Bergen & Australia & kvinne ---> FALSE
2/72;frisør & mann & mellom 40 og 50 ---> FALSE
2/72;Kristiansand & Australia & kvinne ---> modell
2/72;Kristiansand & kvinne & eldre enn 60 ---> frisør
2/72;yngre enn 20 & Europa & kvinne ---> frisør
2/72;Tromsø & Sør Amerika & kvinne ---> FALSE
2/72;mellom 20 og 30 & Bergen & Europa & kvinne ---> FALSE
2/72;Kristiansand & Europa & kvinne ---> modell
2/72;Nord Amerika & kvinne & mellom 40 og 50 ---> Kristiansand
2/72;Nord Amerika & kvinne & mellom 50 og 60 ---> modell
2/72;Trondheim & Australia & kvinne ---> modell
2/72;Trondheim & Sør Amerika & kvinne ---> modell
2/72;frisør & mellom 40 og 50 ---> kvinne
2/72;mellom 30 og 40 & Asia & kvinne ---> modell
2/72;yngre enn 20 & frisør & mann ---> Nord Amerika
2/72;frisør & mann & eldre enn 60 ---> FALSE
2/72;yngre enn 20 & Sør Amerika & kvinne ---> Trondheim
2/72;Bergen & mellom 30 og 40 & kvinne ---> FALSE
2/72;yngre enn 20 & kvinne ---> Ålesund
2/72;Tromsø & kvinne ---> Nord Amerika
2/72;Tromsø & kvinne ---> sykepleier
2/72;Stavanger & mellom 30 og 40 & kvinne ---> forfatter
2/72;Tromsø & kvinne & mellom 50 og 60 ---> Nord Amerika
2/72;Trondheim & kvinne & mellom 50 og 60 ---> modell
2/72;Ålesund & Nord Amerika & kvinne ---> eldre enn 60
2/72;Ålesund & Nord Amerika & kvinne ---> modell
2/72;yngre enn 20 & Oslo & kvinne ---> FALSE
2/72;forfatter & mellom 40 og 50 ---> kvinne
2/72;Ålesund & mellom 30 og 40 & kvinne ---> forfatter
2/72;Bergen & kvinne & advokat ---> FALSE
2/72;forfatter & Kristiansand & kvinne ---> FALSE
2/72;Bodø & Sør Amerika ---> kvinne
2/72;Kristiansand & Asia & kvinne ---> sykepleier
2/72;mellom 20 og 30 & forfatter & kvinne ---> Afrika
2/72;yngre enn 20 & Europa ---> kvinne
2/72;forfatter & Tromsø & kvinne ---> FALSE
2/72;Oslo & kvinne & mellom 50 og 60 ---> modell
2/72;Tromsø & Afrika & kvinne ---> frisør
2/72;mellom 20 og 30 & Stavanger & kvinne ---> Australia
2/72;Tromsø & Asia & kvinne ---> FALSE
2/72;Tromsø & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
2/72;forfatter & Asia & kvinne ---> FALSE
2/72;yngre enn 20 & Kristiansand & kvinne ---> FALSE
2/72;Asia & kvinne & eldre enn 60 ---> Ålesund
2/72;Oslo & Nord Amerika & kvinne ---> modell
2/72;forfatter & Kristiansand ---> mann
2/72;mellom 30 og 40 & Nord Amerika ---> mann
2/72;Oslo & mellom 30 og 40 & Australia & kvinne ---> FALSE
2/72;Tromsø & kvinne & mellom 50 og 60 ---> FALSE
2/72;Ålesund & Australia & kvinne & mellom 40 og 50 ---> FALSE
2/72;Asia & mellom 40 og 50 ---> FALSE
2/72;yngre enn 20 & kvinne ---> FALSE
2/72;kvinne & rørlegger ---> mellom 50 og 60
2/72;mann & modell ---> Australia
2/72;Trondheim & mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
2/72;frisør ---> mann
2/72;kvinne & eldre enn 60 ---> Asia
2/72;kvinne & eldre enn 60 ---> Kristiansand
2/72;mann & modell ---> Tromsø
2/72;yngre enn 20 & kvinne ---> Kristiansand
2/72;yngre enn 20 & kvinne ---> Sør Amerika
2/72;yngre enn 20 & kvinne ---> modell
2/72;forfatter & Sør Amerika & mann ---> FALSE
2/72;Bergen & Sør Amerika ---> mann
2/72;forfatter & Stavanger & mann ---> eldre enn 60
2/72;Oslo & Sør Amerika & mann & mellom 50 og 60 & modell ---> FALSE
2/72;Tromsø & Asia ---> mann
2/72;fotograf & Oslo & Nord Amerika & mann ---> FALSE
2/72;frisør & kvinne & mellom 40 og 50 ---> FALSE
2/72;frisør & mellom 30 og 40 & kvinne ---> FALSE
2/72;sykepleier & Bodø & mann ---> FALSE
2/72;Kristiansand & mellom 30 og 40 & Afrika & mann & rørlegger ---> FALSE
2/72;Stavanger & Afrika & mann & modell ---> FALSE
2/72;forfatter & Australia & mann ---> Bodø
2/72;forfatter & Australia & mann ---> mellom 40 og 50
2/72;kvinne & eldre enn 60 ---> Afrika
2/72;mellom 40 og 50 & modell ---> kvinne
2/72;Kristiansand & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
2/72;frisør & kvinne & mellom 50 og 60 ---> FALSE
2/72;Ålesund & Afrika & mann & mellom 40 og 50 & modell ---> FALSE
2/72;Bergen & kvinne ---> mellom 30 og 40
2/72;Oslo & Nord Amerika ---> mann
2/72;Tromsø & mellom 40 og 50 ---> mann
2/72;fotograf & Nord Amerika ---> mann
2/72;mellom 30 og 40 & Australia & kvinne ---> Bergen
2/72;mellom 30 og 40 & Europa & kvinne ---> modell
2/72;mellom 30 og 40 & Tromsø & kvinne ---> Europa
2/72;sykepleier & Sør Amerika ---> kvinne
2/72;sykepleier & Stavanger & mann ---> FALSE
2/72;fotograf & Asia ---> mann
2/72;Europa & kvinne & rørlegger ---> FALSE
2/72;Stavanger & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
2/72;Trondheim & kvinne & eldre enn 60 ---> FALSE
2/72;forfatter & Kristiansand & mann ---> FALSE
2/72;mellom 20 og 30 & forfatter & kvinne ---> FALSE
2/72;Asia ---> mann
2/72;yngre enn 20 & kvinne ---> sykepleier
2/72;Kristiansand & kvinne ---> Sør Amerika
2/72;kvinne & mellom 50 og 60 ---> sykepleier
2/72;kvinne & rørlegger ---> Nord Amerika
2/72;kvinne & rørlegger ---> mellom 40 og 50
2/72;advokat ---> mann
2/72;forfatter & Stavanger & mann ---> FALSE
2/72;forfatter & Trondheim & mann ---> FALSE
2/72;fotograf & Nord Amerika & mann ---> Trondheim
2/72;frisør & Tromsø & mann ---> Australia
2/72;Kristiansand & mellom 40 og 50 ---> FALSE
2/72;forfatter & mellom 30 og 40 & Tromsø & Australia & mann ---> FALSE
2/72;fotograf & Kristiansand & mann ---> FALSE
2/72;sykepleier & Bergen & mann ---> FALSE
2/72;sykepleier & Ålesund & mann ---> FALSE
2/72;Kristiansand & kvinne & eldre enn 60 ---> Nord Amerika
2/72;yngre enn 20 & Afrika ---> mann
2/72;fotograf & Ålesund ---> kvinne
2/72;frisør & Bergen ---> kvinne
2/72;sykepleier & mellom 30 og 40 ---> mann
2/72;Bodø & Sør Amerika & kvinne ---> FALSE
2/72;forfatter & Bergen & mann ---> FALSE
2/72;mellom 20 og 30 & fotograf & mann ---> FALSE
2/72;mellom 20 og 30 & sykepleier & Nord Amerika & mann ---> FALSE
2/72;Australia & eldre enn 60 ---> mann
2/72;mellom 30 og 40 & Europa & kvinne ---> frisør
2/72;Afrika & kvinne & eldre enn 60 ---> FALSE
2/72;fotograf & Oslo & mann ---> FALSE
2/72;mellom 20 og 30 & Sør Amerika & kvinne ---> FALSE
2/72;kvinne & mellom 40 og 50 & rørlegger ---> Stavanger
2/72;Bergen & Nord Amerika ---> FALSE
2/72;Trondheim & mellom 30 og 40 ---> mann
2/72;Bodø & kvinne & rørlegger ---> FALSE
2/72;kvinne & mellom 40 og 50 & elektriker ---> FALSE
2/72;frisør ---> kvinne
2/72;yngre enn 20 & Kristiansand & Australia & mann ---> FALSE
