COUNT;HORN RULES (filtered)
3/3;kvinne & rørlegger ---> FALSE
3/3;mann & frisør ---> FALSE
3/3;mann & sykepleier ---> FALSE
2/3;mann & psykolog ---> FALSE
1/3;Trondheim & mellom 30 og 40 & kvinne ---> Europa
1/3;Trondheim & mellom 30 og 40 & kvinne ---> politiker
1/3;mann & psykolog ---> Stavanger
1/3;mann & psykolog ---> Sør Amerika
1/3;politiker ---> kvinne
1/3;Oslo & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/3;mellom 20 og 30 & sveiser & kvinne ---> FALSE
1/3;sveiser & Europa & kvinne & mellom 50 og 60 ---> FALSE
1/3;sveiser & kvinne & mellom 40 og 50 ---> FALSE
1/3;elektriker & Europa & kvinne ---> Stavanger
1/3;elektriker & Europa & kvinne ---> yngre enn 20
1/3;Ålesund ---> Sør Amerika
1/3;Stavanger & Asia & mann ---> FALSE
1/3;Tromsø & Nord Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/3;Trondheim & mellom 30 og 40 & kvinne ---> FALSE
1/3;elektriker & Bergen & Asia & mann ---> FALSE
1/3;sveiser & kvinne ---> FALSE
1/3;Tromsø & mann ---> Sør Amerika
1/3;Tromsø & mann ---> mellom 20 og 30
1/3;arkitekt & Stavanger ---> mann
1/3;mellom 20 og 30 & kvinne ---> Bergen
1/3;mellom 20 og 30 & kvinne ---> Nord Amerika
1/3;mellom 20 og 30 & kvinne ---> frisør
1/3;politiker & mann ---> Asia
1/3;politiker & mann ---> Kristiansand
1/3;politiker & mann ---> mellom 50 og 60
1/3;arkitekt & Oslo & Afrika & mann & eldre enn 60 ---> FALSE
1/3;politiker & Ålesund & Europa & mann & mellom 40 og 50 ---> FALSE
1/3;yngre enn 20 & Ålesund & Nord Amerika & mann ---> FALSE
1/3;Ålesund & Afrika & mann ---> FALSE
