COUNT;EXTRACTED HORN RULES (FILTERED)
1/2;Stavanger & mann ---> Sør Amerika
1/2;Stavanger & mann ---> elektriker
1/2;Stavanger & mann ---> mellom 40 og 50
1/2;yngre enn 20 & Australia & kvinne & psykolog ---> FALSE
1/2;Ålesund & Australia & kvinne & mellom 40 og 50 & rørlegger ---> FALSE
1/2;politiker & Trondheim & Asia & kvinne & mellom 50 og 60 ---> FALSE
