ITERATION,HYP LEN,SAMPLENR,RUNTIME
1,115,3,2.945
2,118,1,1.182
3,92,4,6.114
4,88,2,1.69
5,87,4,2.379
6,113,3,9.688
7,116,4,11.017
8,91,1,9.148
9,117,3,10.827
10,143,3,12.376
