ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;1;1.137
2;118;3;2.463
3;91;2;1.133
4;88;2;1.420
5;87;4;2.372
6;94;3;2.690
7;101;1;1.698
8;108;1;2.454
9;117;1;3.270
10;118;3;5.355
11;126;2;3.844
12;134;1;4.730
13;141;1;5.188
14;126;1;3.717
15;135;2;6.028
16;151;3;5.058
17;152;1;5.837
18;153;1;6.585
19;132;1;3.009
20;133;1;7.145
21;151;1;4.644
22;167;4;6.896
23;146;3;4.708
24;143;2;4.008
25;140;1;5.365
26;137;3;4.445
27;135;3;4.409
28;157;1;5.262
29;179;1;5.450
30;169;1;5.120
31;147;2;3.403
32;128;2;2.836
33;129;5;7.556
34;128;1;2.346
35;129;3;6.914
36;136;1;6.454
37;139;3;6.850
38;136;1;2.686
39;133;3;3.812
40;126;2;6.083
41;107;2;2.735
42;123;1;5.136
43;124;1;5.946
44;101;1;2.305
45;102;2;5.555
46;104;2;5.608
47;100;1;1.950
48;97;1;1.793
49;94;1;1.616
50;109;2;5.769
51;107;2;2.667
52;106;3;6.126
53;113;1;4.514
54;112;1;2.012
55;113;1;5.043
56;114;2;5.286
57;130;3;7.280
58;113;1;5.400
59;106;2;5.437
60;108;1;5.008
61;106;2;2.424
62;105;6;4.860
63;106;4;6.572
64;107;1;4.420
65;114;1;4.799
66;130;1;6.668
67;113;1;6.775
68;111;1;1.920
69;110;1;1.740
70;111;4;6.284
71;106;2;5.471
72;107;1;4.852
73;107;3;7.366
74;106;1;1.702
75;115;2;5.350
76;109;4;7.316
77;108;5;7.739
78;109;1;4.684
79;110;1;5.386
80;96;4;6.958
81;97;1;5.346
82;98;1;4.881
83;96;1;2.148
84;95;1;2.119
85;94;1;5.330
86;108;7;9.261
87;128;2;6.956
88;129;1;7.031
89;130;2;6.875
90;139;2;8.779
91;154;1;9.392
92;155;1;10.092
93;169;2;9.440
94;170;4;13.580
95;171;15;21.892
96;172;1;12.971
97;179;8;14.463
98;180;2;15.003
99;181;1;15.074
100;187;1;12.572
