ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;2;1.351
2;118;3;1.664
3;92;1;0.459
4;87;1;0.652
5;102;1;1.218
6;103;1;1.458
7;104;2;2.301
8;113;1;2.183
9;119;1;2.576
10;125;3;3.281
11;135;4;3.639
12;113;3;2.385
13;107;1;2.601
14;110;1;2.483
15;107;2;1.920
16;102;2;1.722
17;115;3;3.130
18;116;2;2.702
19;124;1;2.881
20;145;1;2.796
21;151;1;3.282
22;160;4;5.437
23;162;2;4.472
24;144;3;3.532
25;141;3;3.414
26;156;2;4.238
27;158;1;4.153
28;168;5;7.307
29;177;2;5.830
30;198;1;5.545
31;205;1;5.975
32;198;1;7.115
33;173;3;4.738
34;174;1;5.445
35;188;1;6.476
36;202;3;7.388
37;198;3;5.089
38;207;1;7.135
39;219;5;9.295
40;199;1;6.567
41;196;8;7.433
42;196;1;6.915
43;203;2;6.875
44;200;3;5.186
45;214;4;8.310
46;196;1;6.918
47;187;3;7.533
48;181;1;6.495
49;190;1;6.841
50;191;1;6.326
51;190;4;5.381
52;188;1;3.787
53;186;1;3.481
54;184;1;3.503
55;166;1;3.167
56;167;7;9.849
57;168;2;7.124
58;188;3;8.291
59;187;2;4.004
60;201;7;11.658
61;200;6;11.567
62;198;3;4.801
63;200;2;7.855
64;207;5;10.271
65;216;5;10.233
66;231;2;9.582
67;227;1;4.700
68;206;2;4.715
69;202;4;5.588
70;214;18;17.333
71;208;2;10.466
72;217;5;11.714
73;212;9;16.552
74;200;1;9.004
75;198;13;10.211
76;197;3;4.965
77;198;4;10.643
78;194;3;4.978
79;208;3;10.168
80;207;7;7.046
81;195;6;11.493
82;202;6;12.591
83;202;2;11.178
84;198;7;13.296
85;195;4;5.215
86;196;1;9.823
87;197;7;13.293
88;211;16;18.702
89;211;5;13.315
90;220;11;15.610
91;227;1;12.779
92;241;1;13.814
93;233;7;17.188
94;231;3;6.368
95;232;3;14.841
96;245;1;14.283
97;246;1;14.571
98;246;10;19.633
99;244;16;17.024
100;229;1;14.422
