ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample)
1;88;2;1.196
2;102;2;1.437
3;108;1;1.099
4;116;5;2.665
5;118;2;1.189
6;91;1;0.386
7;88;2;0.759
8;87;9;3.580
9;88;2;1.503
10;91;1;1.449
11;87;2;1.084
12;88;2;1.590
13;89;2;1.790
14;91;1;1.726
15;90;1;1.758
16;91;1;1.518
17;106;6;3.598
18;122;1;2.243
19;109;3;2.211
20;116;3;3.260
21;122;4;3.846
22;131;3;3.629
23;145;3;4.045
24;147;5;4.904
25;160;1;3.502
26;161;3;4.641
27;155;3;4.741
28;133;3;3.090
29;131;2;2.453
30;129;4;4.706
31;144;5;5.260
32;152;4;5.187
33;153;4;5.243
34;160;3;4.990
35;158;2;3.163
36;156;4;3.485
37;155;1;2.365
38;154;3;3.063
39;155;1;4.210
40;156;7;6.943
41;155;1;4.761
42;163;1;4.651
43;164;4;5.919
44;160;8;7.791
45;182;5;6.748
46;163;2;3.027
47;183;1;5.823
48;184;1;5.805
49;206;1;6.581
50;203;2;4.050
51;204;3;7.968
52;226;6;10.347
53;207;5;9.600
54;222;8;11.353
55;207;2;8.742
56;186;1;6.768
57;184;3;4.154
58;185;3;7.468
59;184;2;4.053
60;178;4;4.555
61;180;1;6.478
62;200;1;7.220
63;209;2;8.104
64;216;2;8.978
65;215;9;12.231
66;230;1;9.005
67;221;1;9.369
68;217;12;13.736
69;224;4;10.281
70;212;4;10.718
71;219;3;10.239
72;215;7;12.302
73;224;10;14.062
74;220;7;13.115
75;232;6;13.020
76;215;1;10.477
77;198;27;21.799
78;195;2;5.136
79;202;3;10.909
80;182;3;11.099
81;179;9;13.196
82;177;2;4.745
83;175;1;4.420
84;175;2;9.390
85;169;1;9.111
86;172;7;11.753
87;168;1;4.223
88;177;3;10.071
89;186;6;12.125
90;178;7;11.773
91;193;6;11.992
92;192;10;8.668
93;179;1;9.779
94;178;2;4.692
95;177;2;4.701
96;176;8;7.303
97;177;12;14.902
98;174;10;8.078
99;154;1;3.751
100;152;1;3.651
101;158;4;11.403
102;156;9;6.947
103;165;7;12.611
104;172;6;13.026
105;171;2;4.837
106;187;5;13.083
107;166;9;8.151
108;181;1;11.853
109;172;1;11.873
110;173;3;12.389
111;179;4;13.440
112;178;6;7.085
113;186;3;12.961
114;184;10;8.557
115;204;3;13.598
116;185;2;4.975
117;192;6;14.780
118;191;21;14.032
119;206;16;20.802
120;200;4;15.272
121;199;1;5.026
122;205;16;20.125
123;213;9;17.169
124;195;12;10.053
125;195;1;13.891
126;207;10;18.131
127;207;3;15.219
128;214;1;14.838
129;192;1;13.877
130;193;3;14.473
131;208;1;14.392
132;209;4;16.413
133;229;17;23.139
134;223;3;7.172
135;230;2;17.243
136;232;3;18.603
137;239;3;20.264
138;247;10;23.456
139;239;7;20.927
140;240;2;18.677
141;241;1;18.981
142;248;4;19.993
143;234;3;19.566
144;214;4;8.618
145;222;6;21.356
146;221;6;20.308
147;230;21;28.172
148;222;6;9.292
149;224;3;20.080
150;208;3;19.012
151;207;8;9.528
152;205;8;9.349
153;192;1;6.031
154;193;5;18.219
155;206;7;20.807
156;219;4;20.432
157;219;2;19.682
158;213;1;6.982
159;220;2;19.440
160;221;6;21.785
161;219;11;11.940
162;212;9;23.833
163;232;15;26.719
164;230;7;23.391
165;231;1;20.549
166;232;1;20.428
167;239;3;23.811
168;238;5;10.322
169;240;1;20.937
170;241;27;35.062
171;222;2;8.540
172;229;2;22.143
173;236;12;29.609
174;230;8;12.222
175;223;3;23.603
176;232;1;22.590
177;233;11;27.872
178;253;5;26.897
179;254;7;29.905
180;254;1;26.722
181;253;5;12.457
182;254;1;26.273
183;255;9;32.972
184;267;1;27.445
185;264;2;28.071
186;265;15;34.733
187;279;10;33.152
188;278;5;30.527
189;286;1;28.584
190;285;2;11.673
191;270;3;12.201
192;284;3;30.716
193;293;6;33.007
194;291;3;12.835
195;276;1;29.516
196;286;1;30.528
197;287;7;32.873
198;288;11;36.637
199;289;6;34.650
200;288;1;11.975
