ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,1,1.083
2,118,2,0.815
3,92,3,0.414
4,88,4,1.087
5,87,3,1.192
6,113,1,1.349
7,116,2,1.757
8,91,3,1.919
9,118,6,2.861
10,145,7,4.234
11,146,3,3.191
12,142,1,1.891
13,145,1,2.379
14,120,2,2.46
15,146,3,3.042
16,150,1,2.883
17,176,1,3.37
18,174,1,2.564
19,176,2,4.089
20,202,1,4.379
21,176,2,3.579
22,179,2,4.665
23,181,5,5.523
24,209,1,5.146
25,208,1,3.586
26,182,3,3.729
27,156,1,2.562
28,153,4,3.191
29,179,3,6.16
30,177,3,3.808
31,178,10,8.731
32,154,7,6.787
33,181,1,5.589
34,177,1,3.061
35,203,1,6.327
36,180,1,6.015
37,182,3,6.476
38,180,3,3.881
39,151,3,5.917
40,178,2,5.931
41,204,2,7.44
42,203,1,3.942
43,230,1,8.588
44,232,3,9.928
45,259,6,12.111
46,261,2,11.097
47,263,2,11.544
48,289,2,12.458
49,263,5,8.928
50,291,1,13.161
51,292,4,14.64
52,266,4,13.305
53,264,2,11.716
54,291,6,13.53
55,288,7,9.662
56,265,6,13.452
57,264,6,7.998
58,290,4,13.696
59,263,2,6.951
60,265,1,12.237
61,268,3,12.863
62,267,13,10.841
63,241,4,6.857
64,266,3,12.969
65,236,6,7.843
66,263,2,13.053
67,263,20,20.916
68,265,1,13.137
69,239,8,14.859
70,237,4,6.336
71,235,7,7.451
72,262,3,14.078
73,261,10,9.989
74,259,7,15.326
75,285,1,13.741
76,312,2,16.11
77,288,1,15.583
78,263,5,15.863
79,261,3,14.556
80,236,1,12.864
81,210,2,11.801
82,207,7,6.35
83,234,1,11.089
84,260,2,13.404
85,236,9,15.562
86,262,9,16.6
87,260,3,6.732
88,236,5,14.409
89,236,5,14.672
90,210,21,18.866
91,236,6,13.943
92,262,7,16.123
93,289,9,19.073
94,291,1,16.72
95,266,2,16.023
96,292,6,18.343
97,266,3,16.833
98,240,5,15.583
99,240,5,15.507
100,266,14,19.473
