ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,1,0.9
2,117,1,1.032
3,91,29,9.124
4,92,2,1.267
5,89,4,1.279
6,87,1,0.722
7,113,3,1.91
8,91,1,1.39
9,117,19,6.588
10,115,5,2.404
11,118,13,5.464
12,117,17,6.262
13,116,150,46.903
14,142,1,2.463
15,145,2,3.012
16,172,1,3.641
17,148,1,3.46
18,175,3,4.558
19,176,2,4.507
20,177,1,4.338
21,203,3,5.673
22,206,2,5.698
23,233,1,6.473
24,259,1,7.614
25,287,2,9.445
26,261,2,9.097
27,288,11,13.364
28,264,10,12.897
29,262,3,6.939
30,263,4,10.095
31,290,2,10.082
32,291,3,11.12
33,292,5,12.052
34,319,1,11.124
35,292,10,12.299
36,319,10,16.192
37,320,7,15.628
38,321,7,15.617
39,323,11,17.653
40,350,8,17.443
41,324,1,9.875
42,353,1,15.087
43,349,8,17.717
44,350,8,17.214
45,324,6,11.332
46,323,8,11.763
47,349,1,13.972
48,350,5,16.187
49,348,3,10.442
50,323,4,14.761
51,297,2,12.764
52,299,5,13.606
53,300,2,12.557
54,271,1,7.02
55,297,4,13.997
56,301,2,13.571
57,299,7,10.452
58,296,4,9.112
59,323,13,18.818
60,297,3,9.303
61,325,9,19.054
62,298,7,11.699
63,270,2,14.464
64,267,5,8.524
65,268,24,22.39
66,295,2,14.774
67,293,3,8.52
68,295,2,14.823
69,291,1,7.5
70,317,6,17.663
71,293,4,16.575
72,290,6,16.933
73,289,9,17.514
74,290,6,15.647
75,292,3,15.4
76,319,6,18.323
77,320,4,18.132
78,347,10,22.324
79,348,2,19.248
80,321,4,19.284
81,347,10,22.692
82,373,1,20.72
83,372,9,16.424
84,373,20,30.68
85,372,1,20.551
86,400,9,26.414
87,374,7,24.767
88,401,6,24.281
89,400,3,23.048
90,401,3,22.789
91,428,3,24.617
92,455,2,26.548
93,482,5,30.469
94,508,5,33.435
95,511,13,38.785
96,486,12,38.062
97,487,4,32.59
98,463,10,35.157
99,438,16,37.211
100,435,1,16.421
