ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,114,2,1.16
2,117,2,1.56
3,118,14,4.416
4,90,3,0.516
5,89,2,0.947
6,88,1,0.746
7,113,5,2.407
8,117,1,1.547
9,143,2,2.234
10,147,4,3.325
11,121,20,7.33
12,147,1,2.578
13,149,2,3.165
14,146,13,6.035
15,147,10,5.93
16,121,5,3.109
17,118,1,1.791
18,89,35,12.879
19,115,2,2.806
20,92,8,4.5
21,118,1,2.962
22,95,9,5.375
23,93,3,1.921
24,119,1,3.579
25,96,14,7.233
26,123,4,4.979
27,99,16,8.414
28,125,3,5.23
29,151,5,6.632
30,178,2,6.73
31,177,1,4.171
32,180,8,9.199
33,182,2,7.896
34,154,3,4.746
35,180,3,8.582
36,182,5,9.347
37,209,1,9.263
38,206,23,13.95
39,233,6,11.999
40,235,17,17.266
41,236,8,13.254
42,211,11,14.341
43,210,6,7.876
44,184,3,10.121
45,161,1,8.9
46,157,2,4.66
47,184,16,14.382
48,181,3,5.444
49,179,1,8.336
50,177,3,8.387
51,178,3,8.164
52,152,2,7.193
53,179,1,7.7
54,154,4,8.363
55,156,6,8.968
56,182,1,7.921
57,210,1,9.395
58,213,10,13.114
59,214,6,12.188
60,212,3,6.367
61,210,16,15.716
62,237,10,14.06
63,239,4,12.27
64,237,2,6.465
65,209,2,11.019
66,235,12,15.418
67,262,2,12.845
68,265,1,12.732
69,291,1,14.254
70,318,3,17.061
71,317,1,9.891
72,293,3,17.375
73,320,2,17.825
74,294,7,19.323
75,267,7,11.606
76,269,3,16.39
77,271,2,16.888
78,274,19,25.633
79,301,1,18.431
80,298,27,24.347
81,300,3,20.898
82,302,14,27.794
83,303,4,22.552
84,275,8,14.798
85,301,6,23.897
86,303,4,23.683
87,330,12,29.246
88,328,11,18.966
89,329,4,25.298
90,355,1,24.56
91,329,28,28.156
92,329,14,30.94
93,303,29,37.902
94,331,4,26.226
95,357,7,29.457
96,358,15,34.644
97,356,14,22.164
98,330,2,14.758
99,306,49,51.061
100,307,52,52.194
