ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,1,0.922
2,118,1,0.63
3,90,3,0.508
4,89,1,0.685
5,88,1,0.751
6,114,9,3.458
7,140,1,2.044
8,143,4,3.366
9,146,2,2.546
10,147,1,2.245
11,95,16,6.121
12,121,34,11.29
13,122,8,4.518
14,124,9,5.097
15,120,31,11.001
16,117,16,5.894
17,88,257,80.299
18,115,1,2.031
19,142,2,3.137
20,144,1,3.286
21,171,1,3.684
22,197,3,5.292
23,199,6,7.035
24,226,2,6.325
25,254,1,7.193
26,256,4,9.065
27,259,2,8.196
28,286,8,12.13
29,288,2,10.077
30,264,1,9.018
31,290,1,10.039
32,316,5,13.15
33,293,7,14.398
34,292,7,11.418
35,264,4,8.782
36,291,9,15.037
37,265,1,7.862
38,268,10,15.778
39,295,10,17.411
40,269,21,18.897
41,270,22,23.118
42,271,3,13.381
43,273,2,13.359
44,269,3,9.343
45,242,11,12.146
46,239,3,12.103
47,238,6,8.65
48,213,1,10.272
49,240,8,14.141
50,239,6,8.842
51,235,10,10.541
52,262,1,12.258
53,263,3,13.964
54,291,3,15.51
55,318,1,16.181
56,319,11,21.534
57,295,10,20.598
58,322,5,18.949
59,321,1,10.761
60,296,2,17.733
61,293,29,24.167
62,321,3,19.751
63,295,11,16.025
64,269,3,10.738
65,267,5,11.432
66,243,2,17.932
67,241,7,11.671
68,268,58,45.602
69,242,9,22.439
70,268,32,35.028
71,240,5,20.637
72,239,13,14.92
73,265,13,24.728
74,267,24,30.431
75,269,30,33.154
76,242,15,25.415
77,241,8,12.473
78,242,13,23.94
79,271,7,22.983
80,272,16,27.361
81,273,6,22.959
82,271,2,10.747
83,247,3,20.829
84,274,1,21.341
85,276,8,24.694
86,302,49,45.532
87,300,72,45.423
88,303,23,34.074
89,331,6,27.951
90,306,4,26.822
91,305,22,23.379
92,303,7,15.727
93,304,34,41.207
94,302,18,20.786
95,301,137,88.894
96,300,2,23.633
97,299,8,25.282
98,324,3,23.7
99,325,11,28.098
100,323,1,11.595
