ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,2,1.186
2,116,2,1.396
3,117,2,1.916
4,91,1,0.873
5,92,3,1.499
6,88,2,0.615
7,87,1,0.745
8,113,3,1.93
9,91,3,1.977
10,117,2,1.988
11,119,3,2.467
12,116,6,2.764
13,117,28,10.595
14,91,146,49.321
15,88,34,10.315
16,114,12,5.556
17,140,1,2.87
18,166,15,8.333
19,168,12,8.235
20,195,21,12.429
21,194,1,5.12
22,221,1,5.502
23,199,1,5.473
24,201,3,6.551
25,203,2,5.675
26,229,3,6.858
27,231,1,6.818
28,233,3,6.979
29,207,3,4.925
30,233,1,7.06
31,206,2,4.759
32,233,1,7.268
33,231,3,6.356
34,257,1,8.628
35,232,1,8.959
36,209,1,7.668
37,205,1,4.687
38,202,10,8.018
39,204,7,9.549
40,177,2,5.04
41,153,7,8.443
42,156,3,7.479
43,182,5,8.62
44,183,2,8.297
45,211,2,8.728
46,210,1,4.883
47,237,1,9.755
48,238,11,14.215
49,266,2,11.416
50,292,2,13.291
51,294,3,14.3
52,290,2,8.293
53,265,4,13.589
54,239,1,10.744
55,266,9,15.469
56,239,1,7.066
57,240,9,15.314
58,266,1,12.228
59,268,5,14.797
60,265,6,15.081
61,262,1,11.641
62,237,1,10.926
63,212,1,9.8
64,239,2,11.374
65,237,2,6.324
66,213,5,12.664
67,211,2,5.74
68,210,3,6.248
69,234,1,10.133
70,261,1,12.263
71,287,1,13.327
72,262,2,14.062
73,261,2,7.179
74,287,4,16.114
75,315,2,17.029
76,288,4,17.35
77,290,6,16.804
78,291,4,16.39
79,267,3,15.289
80,268,2,14.688
81,266,2,7.57
82,293,1,15.308
83,266,2,14.549
84,295,8,18.551
85,322,12,22.89
86,348,6,21.839
87,322,9,23.282
88,350,6,23.225
89,351,1,21.323
90,349,1,12.247
91,322,24,23.073
92,325,3,21.813
93,352,3,23.329
94,353,3,23.738
95,380,5,27.418
96,354,8,17.553
97,352,4,14.135
98,296,8,15.689
99,297,3,24.273
100,297,3,23.262
