ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,5,1.965
2,117,2,1.313
3,118,8,2.645
4,92,2,0.372
5,88,3,0.814
6,87,9,2.81
7,113,8,3.208
8,139,3,2.861
9,117,2,2.414
10,119,10,4.615
11,120,10,4.731
12,117,3,1.907
13,89,39,13.623
14,118,309,85.083
15,92,3,1.983
16,89,24,7.458
17,113,396,107.671
18,116,4,2.855
19,142,1,2.52
20,169,6,4.828
21,172,1,3.543
22,198,4,5.443
23,224,2,5.735
24,226,4,7.12
25,228,1,6.187
26,206,1,5.498
27,233,9,9.342
28,230,1,4.844
29,204,3,5.126
30,177,21,11.702
31,152,2,5.82
32,179,8,8.541
33,180,4,7.289
34,155,2,6.195
35,130,5,6.387
36,128,1,2.732
37,127,2,2.993
38,129,28,13.558
39,156,1,5.918
40,183,6,8.509
41,210,5,9.743
42,207,3,5.654
43,183,1,8.388
44,182,13,8.791
45,209,1,8.788
46,238,2,10.691
47,213,4,11.739
48,211,2,6.051
49,186,2,10.531
50,162,9,12.852
51,161,3,10.022
52,188,5,11.803
53,189,7,12.848
54,188,1,5.423
55,187,16,11.379
56,184,9,13.189
57,210,1,10.693
58,183,1,10.354
59,209,1,11.669
60,211,15,18.085
61,237,4,14.754
62,210,3,13.724
63,212,3,13.366
64,210,3,12.924
65,184,3,11.824
66,182,16,11.08
67,210,5,12.985
68,236,4,14.178
69,238,6,15.669
70,239,4,15.19
71,240,4,15.353
72,241,1,13.824
73,239,1,7.549
74,240,7,16.007
75,214,1,12.487
76,188,1,5.785
77,189,3,12.561
78,188,6,7.691
79,215,2,13.136
80,213,1,6.497
81,215,9,16.579
82,190,1,12.62
83,189,1,5.664
84,217,2,14.502
85,215,4,8.112
86,214,6,9.183
87,214,6,16.155
88,213,7,9.484
89,211,4,7.6
90,238,15,20.665
91,264,9,19.946
92,266,10,20.942
93,239,5,17.633
94,215,13,20.592
95,241,13,21.562
96,267,10,22.029
97,243,16,25.11
98,239,2,8.771
99,242,15,24.874
100,216,17,15.942
