ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,1,0.901
2,117,3,1.622
3,89,7,2.63
4,90,7,2.476
5,87,4,0.779
6,114,1,1.263
7,116,2,1.741
8,143,1,1.846
9,116,1,2.092
10,115,36,11.286
11,116,7,3.787
12,117,1,1.904
13,88,273,85.135
14,114,1,1.616
15,140,1,2.244
16,143,3,3.26
17,170,1,2.991
18,198,2,4.11
19,201,3,4.799
20,203,2,4.771
21,229,1,4.841
22,257,8,8.41
23,283,1,7.351
24,286,1,7.825
25,289,2,8.568
26,315,4,10.067
27,291,11,13.575
28,318,2,9.917
29,320,14,15.958
30,293,3,8.992
31,265,11,11.826
32,291,4,10.82
33,293,2,10.531
34,319,1,11.1
35,347,17,19.422
36,350,20,21.737
37,325,3,13.622
38,351,10,17.302
39,350,3,12.164
40,352,5,15.612
41,325,18,18.574
42,327,12,18.077
43,325,7,12.226
44,326,8,16.52
45,353,5,16.382
46,354,1,15.112
47,353,3,11.975
48,380,24,27.127
49,382,15,23.841
50,355,14,18.296
51,329,4,17.526
52,328,1,10.812
53,302,31,23.739
54,329,12,21.297
55,302,13,15.545
56,300,21,18.262
57,302,47,36.085
58,301,21,19.063
59,300,22,19.348
60,301,6,19.572
61,300,32,32.02
62,299,2,10.769
63,327,15,25.49
64,301,35,27.913
65,302,1,19.092
66,274,12,23.355
67,275,3,17.494
68,249,5,9.907
69,246,1,15.197
70,242,9,10.599
71,243,41,30.102
72,241,8,9.637
73,268,7,16.915
74,269,7,17.332
75,271,4,16.045
76,267,5,9.145
77,294,9,18.97
78,296,17,23.474
79,297,4,17.756
80,326,9,21.719
81,324,1,10.154
82,352,11,24.649
83,326,6,13.152
84,328,11,25.308
85,354,3,23.374
86,355,2,23.374
87,354,39,42.792
88,351,6,14.788
89,379,30,37.905
90,354,7,25.325
91,355,22,31.95
92,329,8,14.295
93,326,7,13.471
94,354,1,23.078
95,380,15,32.506
96,354,9,17.227
97,353,10,28.965
98,326,9,26.847
99,328,21,32.64
100,326,2,23.435
