ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,1,0.874
2,116,4,1.772
3,117,1,1.009
4,118,4,1.389
5,92,4,0.442
6,88,2,0.967
7,87,2,0.928
8,113,1,1.36
9,115,1,1.527
10,142,1,2.031
11,115,4,2.905
12,114,4,2.031
13,140,2,2.396
14,143,3,3.146
15,171,5,4.096
16,174,1,3.134
17,175,1,3.032
18,201,1,3.625
19,175,1,2.62
20,176,3,4.445
21,203,1,4.309
22,178,3,4.89
23,151,1,2.487
24,179,2,4.662
25,207,1,5.138
26,208,3,6.126
27,205,1,3.668
28,205,1,6.184
29,233,1,6.385
30,210,3,7.02
31,238,2,7.157
32,237,1,4.896
33,235,1,4.608
34,262,2,8.833
35,261,1,5.866
36,262,2,9.412
37,263,2,9.402
38,235,4,9.983
39,207,1,7.276
40,208,2,7.167
41,207,3,4.91
42,233,7,9.572
43,260,3,9.396
44,237,8,11.376
45,235,3,5.861
46,212,6,10.037
47,239,6,10.67
48,266,1,10.207
49,264,2,6.989
50,237,6,12.336
51,238,3,10.314
52,265,6,13.003
53,261,8,10.142
54,289,1,12.084
55,290,8,15.759
56,289,1,7.918
57,264,5,13.372
58,262,1,6.592
59,263,3,11.394
60,237,3,6.74
61,211,6,7.047
62,239,2,11.522
63,213,5,7.016
64,188,1,10.347
65,182,9,7.22
66,208,1,11.282
67,209,5,12.978
68,211,6,14.029
69,210,3,6.419
70,208,13,15.83
71,209,4,11.989
72,208,2,10.91
73,234,3,12.613
74,260,1,13.214
75,237,6,15.118
76,236,5,7.788
77,208,3,12.551
78,184,8,13.438
79,210,1,11.942
80,185,7,13.641
81,184,7,6.926
82,211,1,12.652
83,187,4,13.255
84,189,2,12.584
85,187,8,7.712
86,186,5,12.703
87,184,2,5.354
88,210,4,12.511
89,236,2,13.746
90,261,1,14.357
91,238,3,14.577
92,236,7,8.42
93,238,3,14.892
94,211,8,15.593
95,238,5,15.058
96,213,4,14.75
97,239,13,19.054
98,266,1,17.099
99,265,5,9.736
100,263,1,7.652
