ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,5,1.999
2,117,1,1.65
3,89,14,4.758
4,90,1,0.877
5,87,1,0.542
6,113,1,1.297
7,140,1,1.898
8,142,3,2.834
9,116,1,1.972
10,118,11,5.296
11,116,12,4.781
12,143,4,3.085
13,169,3,3.984
14,197,1,3.689
15,224,5,5.947
16,251,7,8.165
17,253,6,8.088
18,255,2,6.627
19,257,5,8.472
20,260,5,8.426
21,287,3,8.937
22,288,6,10.32
23,315,2,9.799
24,317,4,10.995
25,343,2,11.687
26,345,2,11.923
27,372,11,17.948
28,375,1,12.931
29,377,5,15.767
30,404,8,18.665
31,378,22,25.124
32,352,5,13.076
33,379,87,60.49
34,381,3,16.038
35,409,6,20.24
36,410,1,16.969
37,384,11,22.537
38,382,4,14.202
39,409,16,26.151
40,410,6,20.753
41,438,6,21.769
42,466,55,54.355
43,495,32,41.763
44,523,4,27.883
45,496,3,26.23
46,443,21,31.08
47,441,57,50.115
48,415,32,40.249
49,417,16,29.251
50,392,57,53.566
51,366,4,16.276
52,365,4,15.641
53,363,44,37.414
54,361,20,24.581
55,362,10,25.261
56,361,5,16.625
57,359,3,14.66
58,332,56,43.107
59,330,7,15.215
60,356,42,41.94
61,357,2,21.608
62,384,11,28.069
63,383,12,21.103
64,384,10,28.736
65,383,5,17.246
66,384,30,39.083
67,382,2,15.062
68,379,7,17.627
69,380,24,35.181
70,378,5,15.91
71,353,7,24.368
72,354,5,22.52
73,328,3,20.71
74,327,3,12.159
75,326,6,21.141
76,298,9,13.525
77,297,10,21.363
78,295,9,11.969
79,296,11,20.787
80,323,2,18.34
81,324,4,20.355
82,326,9,22.903
83,324,5,12.218
84,351,47,44.028
85,353,8,25.433
86,380,5,25.849
87,379,14,20.975
88,353,34,42.808
89,352,51,49.974
90,350,17,20.301
91,351,27,36.453
92,351,5,24.174
93,324,27,35.133
94,351,22,33.935
95,353,30,39.197
96,354,33,42.371
97,356,67,62.376
98,330,36,32.73
99,357,33,44.115
100,332,4,27.85
