EXTRACTED HORN RULES (FILTERED)
Asia ---> kvinne
Bergen & psykolog ---> Europa
Bergen & psykolog ---> kvinne
Bergen & psykolog ---> mellom 20 og 30
Nord Amerika & kvinne ---> sykepleier
Tromsø & sykepleier ---> kvinne
kvinne & rørlegger ---> Afrika
not (Bodø & kvinne & eldre enn 60)
not (arkitekt & kvinne)
not (elektriker & kvinne)
not (mellom 20 og 30 & mann & sykepleier)
not (politiker & kvinne)
not (sveiser & kvinne)
not (yngre enn 20 & kvinne)
Ålesund & mellom 30 og 40 & kvinne ---> Afrika
Ålesund & mellom 30 og 40 & kvinne ---> psykolog
