ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,1,0.875
2,117,1,0.996
3,118,3,1.311
4,91,1,0.272
5,88,6,0.735
6,113,1,1.229
7,139,4,2.647
8,142,1,2.108
9,143,2,2.395
10,117,5,2.577
11,113,4,2.007
12,90,2,1.836
13,116,3,2.1
14,114,1,1.173
15,113,7,2.707
16,139,2,2.586
17,165,2,3.338
18,192,1,4.01
19,218,3,5.728
20,194,2,5.398
21,197,3,5.457
22,223,1,5.797
23,198,2,5.813
24,225,12,9.556
25,228,7,8.147
26,231,6,7.717
27,233,2,6.579
28,235,1,6.169
29,261,8,9.438
30,260,4,6.492
31,233,2,5.083
32,235,1,7.402
33,233,4,5.904
34,234,5,9.2
35,235,1,7.404
36,207,1,6.857
37,233,4,8.278
38,207,2,4.682
39,183,5,8.165
40,210,1,7.313
41,208,1,4.565
42,182,1,7.249
43,180,1,3.822
44,155,3,7.271
45,181,3,8.303
46,180,4,5.345
47,157,15,12.307
48,153,7,5.647
49,180,2,8.097
50,179,2,4.512
51,205,5,10.525
52,178,1,8.494
53,181,5,9.64
54,180,4,5.087
55,206,6,10.765
56,180,3,9.206
57,207,1,9.314
58,206,6,6.316
59,181,2,9.589
60,179,17,9.296
61,178,50,18.742
62,206,26,17.624
63,182,7,11.843
64,209,3,11.683
65,208,1,5.541
66,235,6,13.844
67,261,2,13.856
68,262,3,14.817
69,263,5,15.616
70,262,3,8.071
71,261,4,8.297
72,234,7,14.553
73,261,2,12.858
74,233,4,13.072
75,231,2,5.6
76,233,5,11.872
77,206,2,4.72
78,208,5,11.664
79,205,1,4.287
80,203,4,10.233
81,230,11,13.468
82,256,5,13.405
83,228,6,13.283
84,203,2,10.831
85,229,6,12.935
86,255,2,13.38
87,231,17,18.045
88,233,9,15.434
89,208,9,15.008
90,211,8,14.19
91,210,5,6.548
92,238,6,15.02
93,236,2,13.498
94,238,20,20.058
95,265,3,15.092
96,292,8,18.786
97,294,2,17.039
98,268,10,10.895
99,264,4,8.021
100,291,2,17.335
