ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,114,2,1.123
2,117,1,1.0
3,118,7,2.257
4,92,2,0.305
5,89,1,0.527
6,88,1,0.483
7,113,1,1.386
8,140,4,2.918
9,118,3,2.82
10,121,2,2.158
11,148,1,2.39
12,145,3,2.465
13,173,13,7.116
14,199,1,4.337
15,172,3,3.762
16,174,3,4.479
17,170,4,3.726
18,173,1,3.631
19,200,2,4.55
20,227,3,5.85
21,229,1,5.667
22,256,1,6.467
23,230,1,4.634
24,231,1,6.653
25,259,2,7.602
26,261,1,7.655
27,259,6,9.647
28,286,2,8.32
29,288,5,10.248
30,289,2,8.795
31,263,4,6.967
32,289,2,9.322
33,316,4,11.54
34,343,1,11.831
35,319,3,12.602
36,296,5,12.553
37,294,2,7.527
38,322,1,12.001
39,323,4,13.49
40,325,3,12.849
41,323,1,8.446
42,324,6,14.196
43,350,1,13.614
44,325,4,15.018
45,327,3,14.155
46,301,1,8.279
47,298,8,15.437
48,296,6,9.836
49,295,2,7.949
50,267,7,9.821
51,293,2,12.89
52,240,1,7.052
53,267,15,18.649
54,264,14,18.174
55,261,3,7.678
56,262,6,13.83
57,239,1,11.436
58,266,2,12.805
59,268,20,20.918
60,294,3,15.517
61,321,10,20.972
62,319,4,11.663
63,291,6,18.729
64,266,7,17.61
65,293,1,15.724
66,320,4,18.456
67,317,2,10.426
68,291,3,10.439
69,266,1,15.684
70,268,2,16.162
71,295,7,19.601
72,272,3,17.545
73,269,1,8.242
74,296,1,17.042
75,296,4,19.108
76,298,5,18.995
77,299,1,17.158
78,301,1,17.215
79,275,3,8.973
80,277,5,18.2
81,273,2,8.682
82,271,4,8.809
83,268,8,10.367
84,266,1,7.566
85,293,4,18.129
86,319,3,19.916
87,295,10,22.999
88,294,4,9.999
89,322,9,22.487
90,324,14,25.432
91,326,5,21.897
92,353,1,22.125
93,353,6,25.663
94,351,2,22.558
95,352,6,23.769
96,351,2,11.583
97,350,6,12.979
98,352,3,22.619
99,326,7,12.84
100,352,8,25.809
