ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,114,1,0.876
2,116,1,1.064
3,117,3,1.56
4,118,3,1.186
5,92,3,0.402
6,88,2,0.604
7,87,49,13.006
8,113,1,1.357
9,91,4,2.314
10,117,16,5.547
11,120,6,3.432
12,117,5,2.519
13,91,90,28.162
14,119,89,26.23
15,92,30,9.747
16,93,127,36.445
17,91,9,3.572
18,87,16,5.597
19,113,1,1.78
20,116,1,1.974
21,142,3,3.046
22,168,1,3.475
23,145,1,3.253
24,148,3,3.757
25,174,2,4.112
26,177,3,4.687
27,204,1,4.903
28,231,4,6.694
29,258,2,7.337
30,235,3,7.885
31,237,1,6.81
32,239,4,8.205
33,213,1,4.263
34,239,3,7.852
35,214,2,7.637
36,242,1,7.715
37,239,22,12.951
38,266,6,11.208
39,293,8,13.365
40,291,6,12.704
41,292,7,12.507
42,318,1,10.87
43,320,2,12.191
44,322,19,19.895
45,348,11,18.124
46,351,11,19.384
47,325,10,18.546
48,326,5,14.836
49,353,5,16.214
50,381,3,17.305
51,383,3,18.121
52,384,12,22.948
53,357,1,16.342
54,331,1,10.779
55,332,6,17.054
56,359,6,18.15
57,361,1,16.117
58,360,1,11.206
59,334,1,10.547
60,336,4,17.37
61,364,2,17.893
62,365,7,20.902
63,367,6,21.294
64,341,1,11.976
65,315,1,11.067
66,312,5,12.758
67,310,4,12.656
68,309,2,11.676
69,310,5,20.491
70,306,6,13.332
71,279,19,25.41
72,278,4,10.922
73,279,5,18.343
74,281,5,18.128
75,277,9,12.667
76,277,7,19.198
77,304,7,19.917
78,302,6,19.7
79,328,1,18.171
80,302,4,19.192
81,329,3,19.601
82,325,2,18.567
83,299,1,16.205
84,298,3,9.508
85,244,3,8.211
86,241,1,13.914
87,238,6,8.268
88,240,6,14.808
89,266,4,14.888
90,243,1,13.773
91,241,3,7.01
92,240,8,9.032
93,267,7,16.797
94,268,4,16.439
95,295,3,17.152
96,270,1,16.131
97,296,8,19.177
98,295,7,10.4
99,296,6,18.431
100,294,3,8.371
