ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,2,1.171
2,116,1,1.148
3,118,2,1.005
4,92,3,0.484
5,88,2,0.628
6,87,16,5.239
7,114,2,1.662
8,117,1,1.601
9,144,1,2.051
10,121,1,2.123
11,147,12,5.855
12,121,1,2.24
13,119,1,1.579
14,118,28,9.699
15,115,10,4.803
16,114,14,5.425
17,141,3,3.754
18,167,1,4.018
19,145,1,4.261
20,147,1,3.664
21,173,4,5.28
22,176,2,5.068
23,203,1,6.041
24,206,4,7.171
25,204,2,4.29
26,232,2,7.768
27,260,2,8.51
28,287,4,11.598
29,262,2,10.02
30,234,2,9.587
31,260,2,9.127
32,259,2,6.967
33,257,4,10.523
34,230,3,9.237
35,232,1,7.326
36,257,11,12.04
37,235,2,7.889
38,263,2,8.823
39,290,2,10.066
40,289,4,8.276
41,291,2,10.311
42,317,4,12.489
43,318,1,11.703
44,315,5,9.926
45,289,3,8.306
46,266,11,14.847
47,238,6,11.806
48,212,2,5.123
49,239,3,10.275
50,241,1,9.992
51,214,4,6.508
52,241,5,12.458
53,267,2,13.072
54,293,2,14.738
55,267,1,8.171
56,265,1,8.046
57,268,13,19.841
58,269,3,15.895
59,267,10,12.402
60,268,5,17.444
61,245,3,16.236
62,244,1,8.167
63,243,5,9.409
64,269,1,16.229
65,267,11,13.697
66,265,4,10.19
67,239,8,19.567
68,212,14,20.087
69,186,9,9.613
70,212,11,18.522
71,211,1,6.654
72,237,13,21.371
73,239,7,19.046
74,215,28,27.809
75,214,14,12.706
76,241,7,20.228
77,268,7,22.157
78,267,11,14.127
79,240,5,20.932
80,238,9,12.376
81,239,41,36.067
82,215,21,26.58
83,216,16,24.505
84,244,32,32.918
85,242,8,12.029
86,269,6,23.448
87,270,17,29.089
88,271,25,33.121
89,297,1,23.696
90,272,42,42.771
91,247,6,24.759
92,244,25,32.806
93,271,35,38.357
94,273,10,27.629
95,300,4,26.045
96,327,26,38.474
97,328,2,27.535
98,357,10,33.867
99,357,17,38.973
100,384,98,81.574
