ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,2,1.331
2,116,1,1.034
3,117,4,1.873
4,118,10,2.967
5,90,1,0.311
6,88,1,0.513
7,115,2,1.437
8,141,1,1.852
9,145,2,2.371
10,146,6,3.754
11,120,6,2.878
12,94,14,4.713
13,91,7,2.442
14,118,3,2.99
15,91,2,2.133
16,118,1,2.253
17,144,1,3.031
18,141,1,2.054
19,143,3,3.554
20,145,2,3.414
21,144,1,1.773
22,171,2,3.557
23,197,1,4.224
24,175,2,4.544
25,177,4,5.085
26,178,3,4.729
27,204,5,6.194
28,202,5,4.935
29,203,3,6.296
30,206,1,5.872
31,233,1,6.834
32,259,1,7.762
33,261,1,8.272
34,234,1,5.177
35,262,1,8.645
36,235,1,5.696
37,262,2,9.638
38,236,1,5.805
39,234,2,6.017
40,237,14,13.556
41,235,5,6.387
42,261,1,9.478
43,264,1,9.97
44,266,8,12.745
45,293,8,14.219
46,294,4,13.442
47,320,1,13.337
48,322,18,21.048
49,323,7,16.282
50,350,3,16.268
51,325,13,20.47
52,352,7,18.442
53,350,10,20.068
54,348,1,10.405
55,322,10,18.215
56,323,3,15.315
57,296,3,14.415
58,295,6,9.827
59,321,3,14.147
60,299,4,14.698
61,273,7,10.086
62,274,1,13.1
63,300,13,19.593
64,299,7,11.325
65,298,4,9.706
66,296,1,7.854
67,269,3,8.197
68,297,3,15.489
69,296,1,7.803
70,299,1,15.644
71,297,10,11.558
72,297,1,16.556
73,272,10,18.777
74,271,4,8.777
75,298,1,16.708
76,297,18,15.948
77,300,6,19.857
78,272,7,18.881
79,270,23,15.872
80,296,9,20.276
81,295,20,16.586
82,294,4,9.616
83,293,17,14.699
84,268,5,16.972
85,295,2,17.073
86,322,6,20.783
87,348,1,20.879
88,376,1,23.485
89,351,4,24.309
90,351,9,26.952
91,353,16,30.282
92,380,13,30.553
93,354,6,26.473
94,328,2,22.984
95,325,3,11.933
96,299,5,21.33
97,326,12,25.965
98,353,10,27.447
99,351,5,14.038
100,324,3,22.511
