ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,114,3,1.373
2,117,1,1.024
3,90,13,4.105
4,91,6,2.184
5,88,2,0.869
6,87,1,0.702
7,113,2,1.607
8,89,3,2.14
9,117,1,1.635
10,144,2,2.698
11,120,1,2.428
12,146,1,2.752
13,144,2,2.46
14,147,2,3.493
15,145,1,2.931
16,148,1,2.723
17,149,2,3.015
18,123,1,1.6
19,149,8,5.109
20,148,3,2.564
21,176,3,4.598
22,153,1,4.003
23,126,1,2.189
24,152,2,4.795
25,150,1,2.724
26,148,7,4.498
27,147,7,4.655
28,144,4,3.552
29,143,6,3.854
30,117,8,5.916
31,143,28,11.746
32,171,7,7.181
33,146,4,6.036
34,145,2,2.78
35,123,2,4.455
36,149,2,5.265
37,124,2,4.764
38,121,1,2.004
39,118,1,1.731
40,118,2,4.831
41,144,1,4.418
42,146,2,4.97
43,172,1,5.43
44,171,2,3.12
45,197,1,6.377
46,224,2,7.947
47,251,1,9.047
48,254,2,10.061
49,256,2,10.024
50,282,1,10.901
51,256,10,14.376
52,257,1,9.703
53,283,1,11.002
54,284,2,11.632
55,258,7,13.021
56,231,1,9.559
57,208,3,9.495
58,234,7,11.442
59,260,1,10.885
60,258,3,6.917
61,260,1,11.342
62,234,6,12.499
63,261,1,11.742
64,259,1,6.501
65,257,1,6.613
66,256,3,7.159
67,233,2,12.208
68,232,6,7.397
69,229,7,7.575
70,203,3,5.088
71,231,14,15.685
72,258,3,13.32
73,261,1,13.12
74,261,2,13.147
75,258,1,6.061
76,285,7,15.337
77,286,2,14.262
78,313,3,16.046
79,312,2,8.106
80,284,3,14.961
81,256,4,14.028
82,258,1,12.502
83,231,7,13.348
84,257,4,13.148
85,233,5,12.764
86,209,3,11.445
87,234,2,11.203
88,261,3,13.319
89,287,1,14.395
90,264,5,15.533
91,291,1,15.384
92,293,1,15.718
93,319,1,16.999
94,345,2,19.55
95,371,4,22.391
96,348,1,21.009
97,349,1,20.767
98,349,1,21.112
99,323,1,19.451
100,297,6,10.359
