ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,114,5,1.85
2,117,1,0.998
3,118,17,5.156
4,92,2,0.337
5,89,1,0.474
6,88,1,0.709
7,87,1,0.7
8,113,1,1.456
9,116,1,1.678
10,89,1,1.54
11,116,12,4.464
12,115,11,4.018
13,114,3,1.752
14,140,1,2.359
15,143,2,2.906
16,169,1,3.224
17,197,1,4.201
18,200,5,6.159
19,203,2,5.003
20,229,3,6.268
21,203,1,4.104
22,178,3,5.912
23,205,2,6.018
24,180,1,5.601
25,206,1,5.964
26,205,2,4.57
27,207,1,6.848
28,209,2,7.174
29,207,1,4.499
30,205,2,5.038
31,179,4,5.238
32,206,5,8.929
33,210,3,8.544
34,209,3,5.28
35,236,1,9.102
36,210,1,5.236
37,207,4,9.978
38,184,1,7.454
39,180,4,4.931
40,181,2,7.252
41,156,1,6.355
42,182,3,7.77
43,182,2,6.989
44,208,3,7.883
45,202,1,4.22
46,177,2,6.936
47,176,3,4.012
48,153,3,7.113
49,180,7,9.287
50,207,5,10.077
51,235,1,10.122
52,236,2,11.079
53,264,1,12.002
54,267,4,13.439
55,241,3,7.57
56,239,3,7.061
57,238,4,7.545
58,266,1,13.464
59,267,1,13.953
60,239,1,12.858
61,235,2,11.348
62,233,3,11.373
63,234,5,11.515
64,261,2,11.576
65,233,1,10.352
66,232,1,4.938
67,208,9,12.488
68,209,4,10.657
69,235,2,10.253
70,237,1,11.08
71,236,1,5.402
72,263,4,13.77
73,290,2,14.792
74,317,4,17.648
75,319,2,17.578
76,318,6,11.729
77,319,2,17.803
78,293,5,10.61
79,295,2,17.23
80,272,8,19.188
81,246,8,9.655
82,273,8,19.054
83,301,4,19.862
84,298,2,9.27
85,270,1,18.297
86,244,3,8.305
87,246,2,17.203
88,272,3,18.999
89,273,2,18.958
90,272,9,11.837
91,271,8,10.93
92,299,4,20.888
93,301,4,22.063
94,273,2,20.204
95,273,5,20.853
96,276,5,20.544
97,273,16,14.36
98,246,2,7.888
99,245,1,6.879
100,271,2,18.922
