ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,117,2,1.065
2,118,8,2.475
3,91,3,0.484
4,89,2,0.951
5,88,2,0.936
6,87,3,1.197
7,113,5,2.397
8,91,1,1.412
9,118,1,1.936
10,93,2,2.028
11,91,6,2.163
12,118,1,1.859
13,145,1,2.607
14,146,2,3.184
15,119,1,2.69
16,146,1,3.319
17,123,1,2.987
18,150,4,4.207
19,152,4,4.462
20,178,1,4.291
21,154,1,4.025
22,151,2,2.778
23,177,2,4.944
24,175,3,4.002
25,178,6,6.415
26,206,1,6.156
27,232,1,7.389
28,234,2,7.864
29,237,1,7.945
30,236,1,5.467
31,237,1,7.978
32,264,1,9.281
33,238,1,6.255
34,211,1,5.618
35,212,1,8.031
36,214,10,11.212
37,215,1,8.08
38,212,3,5.756
39,210,5,6.151
40,182,3,7.282
41,179,2,3.815
42,177,3,3.646
43,204,1,6.972
44,206,1,7.663
45,205,2,4.482
46,233,4,9.494
47,234,5,10.476
48,260,3,10.811
49,287,3,12.081
50,263,1,11.355
51,264,2,11.363
52,262,1,6.47
53,288,5,13.158
54,291,11,16.201
55,318,2,13.578
56,344,1,14.82
57,318,8,11.919
58,318,1,15.122
59,319,5,16.274
60,293,3,14.641
61,294,9,16.057
62,294,22,21.989
63,295,7,15.435
64,270,2,12.447
65,297,14,17.828
66,325,6,16.437
67,323,14,13.802
68,322,3,9.284
69,348,5,18.408
70,349,5,18.927
71,321,17,23.144
72,322,9,18.964
73,298,1,14.89
74,325,1,15.94
75,351,23,26.192
76,324,16,16.265
77,297,18,15.347
78,324,13,22.373
79,323,1,9.399
80,325,15,23.841
81,352,7,22.513
82,351,5,12.949
83,377,35,36.161
84,350,1,20.789
85,377,1,20.979
86,378,4,22.654
87,375,9,15.012
88,401,4,24.053
89,402,29,35.254
90,376,1,12.224
91,374,10,15.543
92,400,17,30.45
93,402,23,34.301
94,378,5,25.803
95,375,2,12.374
96,351,6,25.149
97,349,5,12.786
98,348,6,12.779
99,377,1,24.032
100,378,10,29.32
