ITERATION,LEN(HYP),SAMPLENR,RUNTIME
1,113,1,0.878
2,116,3,1.531
3,117,1,1.009
4,91,2,1.127
5,92,2,1.162
6,87,1,0.521
7,114,1,1.208
8,117,2,1.66
9,143,3,2.377
10,121,1,2.017
11,147,16,6.345
12,121,1,1.656
13,114,4,2.221
14,141,10,4.869
15,140,7,3.488
16,167,1,2.994
17,169,2,3.547
18,146,3,3.733
19,120,3,3.5
20,146,2,3.264
21,173,2,4.108
22,148,3,4.408
23,145,2,2.893
24,147,4,4.24
25,146,1,2.175
26,172,2,4.108
27,175,2,4.463
28,174,4,3.921
29,200,2,5.016
30,202,3,5.755
31,229,3,6.832
32,205,2,6.302
33,231,3,7.422
34,234,1,7.273
35,208,2,4.868
36,235,1,7.893
37,236,1,8.152
38,211,1,7.515
39,208,1,4.736
40,208,6,9.178
41,206,2,4.736
42,180,2,6.823
43,205,4,7.444
44,233,4,8.837
45,259,3,9.825
46,285,1,10.819
47,286,3,11.918
48,263,2,10.947
49,264,10,14.201
50,267,2,11.117
51,239,4,11.254
52,238,2,6.544
53,212,3,9.304
54,239,4,10.521
55,242,9,12.896
56,217,2,9.713
57,244,6,12.223
58,241,2,6.492
59,268,12,15.518
60,266,4,8.065
61,264,3,7.546
62,237,1,10.861
63,211,7,7.287
64,237,1,10.507
65,234,1,5.647
66,233,5,12.385
67,232,4,11.632
68,235,4,11.495
69,211,4,11.101
70,238,3,11.427
71,241,8,14.934
72,243,1,12.224
73,270,13,18.679
74,297,1,14.827
75,294,3,15.964
76,320,25,26.905
77,297,4,17.625
78,298,2,16.209
79,293,7,11.94
80,267,2,8.448
81,266,3,8.702
82,240,7,9.462
83,267,4,15.753
84,239,3,7.8
85,265,1,15.698
86,267,6,18.062
87,243,2,15.374
88,217,1,6.428
89,215,1,5.88
90,218,3,15.13
91,215,3,14.507
92,241,2,14.996
93,267,1,16.552
94,266,2,8.177
95,292,4,19.364
96,295,7,20.848
97,294,3,9.364
98,295,2,18.586
99,293,16,14.178
100,296,15,23.087
