ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;96;1;0.925;0.925;0:00:00
2;118;1;0.837;1.762;0:00:01
3;90;3;1.002;2.764;0:00:02
4;88;2;0.892;3.656;0:00:03
5;87;1;0.794;4.45;0:00:04
6;94;2;1.652;6.102;0:00:06
7;110;4;2.879;8.981;0:00:08
8;117;1;1.680;10.661;0:00:10
9;97;1;1.902;12.563;0:00:12
10;95;3;2.058;14.621;0:00:14
11;94;1;1.106;15.727;0:00:15
12;101;1;1.939;17.666;0:00:17
13;102;2;2.302;19.968;0:00:19
14;109;1;2.159;22.127;0:00:22
15;118;1;2.988;25.115;0:00:25
16;133;3;3.734;28.849;0:00:28
17;151;2;3.916;32.765;0:00:32
18;150;1;3.620;36.385;0:00:36
19;151;1;3.299;39.684;0:00:39
20;173;2;4.306;43.99;0:00:43
21;152;5;4.663;48.653;0:00:48
22;149;4;3.631;52.284;0:00:52
23;148;3;3.168;55.452;0:00:55
24;143;2;4.089;59.541;0:00:59
25;150;1;4.176;63.717;0:01:03
26;131;2;4.724;68.441;0:01:08
27;125;1;3.867;72.308;0:01:12
28;141;3;4.606;76.914;0:01:16
29;127;1;3.563;80.477;0:01:20
30;134;4;4.866;85.343;0:01:25
31;113;1;1.878;87.221;0:01:27
32;112;1;1.966;89.187;0:01:29
33;109;1;1.787;90.974;0:01:30
34;105;3;4.582;95.556;0:01:35
35;103;4;2.986;98.542;0:01:38
36;104;1;3.719;102.261;0:01:42
37;104;2;3.825;106.086;0:01:46
38;105;2;4.284;110.37;0:01:50
39;107;6;6.126;116.496;0:01:56
40;104;2;2.518;119.014;0:01:59
41;111;1;4.657;123.671;0:02:03
42;108;1;2.180;125.851;0:02:05
43;107;1;2.194;128.045;0:02:08
44;109;1;4.576;132.621;0:02:12
45;122;1;4.976;137.597;0:02:17
46;119;3;3.286;140.883;0:02:20
47;137;1;5.047;145.93;0:02:25
48;116;1;2.101;148.031;0:02:28
49;131;1;5.326;153.357;0:02:33
50;132;3;6.853;160.21;0:02:40
51;132;2;6.047;166.257;0:02:46
52;125;2;6.289;172.546;0:02:52
53;115;1;5.308;177.854;0:02:57
54;114;1;2.193;180.047;0:03:00
55;134;3;6.373;186.42;0:03:06
56;131;1;2.240;188.66;0:03:08
57;130;2;6.260;194.92;0:03:14
58;129;1;2.111;197.031;0:03:17
59;138;5;7.225;204.256;0:03:24
60;137;1;2.172;206.428;0:03:26
61;135;1;5.405;211.833;0:03:31
62;136;1;5.165;216.998;0:03:36
63;137;3;5.748;222.746;0:03:42
64;135;2;2.351;225.097;0:03:45
65;149;2;6.097;231.194;0:03:51
66;150;2;6.179;237.373;0:03:57
67;150;4;7.893;245.266;0:04:05
68;129;1;2.184;247.45;0:04:07
69;138;1;6.026;253.476;0:04:13
70;120;1;2.477;255.953;0:04:15
71;117;1;6.199;262.152;0:04:22
72;119;2;6.162;268.314;0:04:28
73;139;1;6.400;274.714;0:04:34
74;125;1;6.121;280.835;0:04:40
75;126;1;6.063;286.898;0:04:46
76;123;2;6.993;293.891;0:04:53
77;124;1;5.866;299.757;0:04:59
78;118;3;7.059;306.816;0:05:06
79;118;3;6.959;313.775;0:05:13
80;117;5;4.133;317.908;0:05:17
81;133;3;7.239;325.147;0:05:25
82;134;1;6.164;331.311;0:05:31
83;135;1;6.905;338.216;0:05:38
84;136;4;8.058;346.274;0:05:46
85;148;3;8.448;354.722;0:05:54
86;146;3;3.714;358.436;0:05:58
87;159;3;9.259;367.695;0:06:07
88;173;4;9.973;377.668;0:06:17
89;173;2;9.118;386.786;0:06:26
90;174;3;9.461;396.247;0:06:36
91;181;3;10.930;407.177;0:06:47
92;183;2;9.896;417.073;0:06:57
93;185;3;10.849;427.922;0:07:07
94;184;3;10.703;438.625;0:07:18
95;193;3;10.952;449.577;0:07:29
96;195;3;11.659;461.236;0:07:41
97;186;2;10.413;471.649;0:07:51
98;187;1;9.505;481.154;0:08:01
99;186;2;4.483;485.637;0:08:05
100;185;2;10.287;495.924;0:08:15
101;187;1;9.847;505.771;0:08:25
102;184;1;3.683;509.454;0:08:29
103;185;3;10.721;520.175;0:08:40
104;171;1;10.004;530.179;0:08:50
105;191;7;13.240;543.419;0:09:03
106;172;2;4.207;547.626;0:09:07
107;181;1;10.705;558.331;0:09:18
108;189;6;14.150;572.481;0:09:32
109;186;1;4.120;576.601;0:09:36
110;185;6;6.341;582.942;0:09:42
111;184;1;10.534;593.476;0:09:53
112;191;1;11.295;604.771;0:10:04
113;183;3;11.301;616.072;0:10:16
114;198;1;11.068;627.14;0:10:27
115;199;3;12.276;639.416;0:10:39
116;180;1;4.249;643.665;0:10:43
117;186;7;15.507;659.172;0:10:59
118;186;2;13.627;672.799;0:11:12
119;184;7;7.026;679.825;0:11:19
120;183;1;4.383;684.208;0:11:24
121;192;2;12.721;696.929;0:11:36
122;191;2;4.952;701.881;0:11:41
123;175;4;12.819;714.7;0:11:54
124;176;2;11.287;725.987;0:12:05
125;196;2;13.011;738.998;0:12:18
126;204;2;13.346;752.344;0:12:32
127;213;7;16.194;768.538;0:12:48
128;215;5;17.886;786.424;0:13:06
129;213;10;9.894;796.318;0:13:16
130;220;1;15.606;811.924;0:13:31
131;227;8;19.965;831.889;0:13:51
132;247;8;19.888;851.777;0:14:11
133;246;2;7.160;858.937;0:14:18
134;252;1;18.861;877.798;0:14:37
135;241;3;7.742;885.54;0:14:45
136;226;5;19.024;904.564;0:15:04
137;225;22;17.360;921.924;0:15:21
138;234;3;18.494;940.418;0:15:40
139;233;4;8.344;948.762;0:15:48
140;234;1;18.812;967.574;0:16:07
141;215;1;6.498;974.072;0:16:14
142;203;4;7.876;981.948;0:16:21
143;203;6;21.215;1003.163;0:16:43
144;194;1;16.742;1019.905;0:16:59
145;195;7;20.906;1040.811;0:17:20
146;197;8;20.331;1061.142;0:17:41
147;204;7;19.968;1081.11;0:18:01
148;203;13;12.252;1093.362;0:18:13
149;204;6;21.229;1114.591;0:18:34
150;213;2;18.115;1132.706;0:18:52
151;214;8;24.342;1157.048;0:19:17
152;207;1;18.353;1175.401;0:19:35
153;219;1;20.300;1195.701;0:19:55
154;217;6;9.630;1205.331;0:20:05
155;217;3;20.562;1225.893;0:20:25
156;211;2;7.461;1233.354;0:20:33
157;211;2;19.565;1252.919;0:20:52
158;218;7;25.323;1278.242;0:21:18
159;217;2;7.762;1286.004;0:21:26
160;225;4;22.258;1308.262;0:21:48
161;226;10;25.200;1333.462;0:22:13
162;227;1;23.477;1356.939;0:22:36
163;226;7;11.154;1368.093;0:22:48
164;227;13;30.612;1398.705;0:23:18
165;233;3;25.279;1423.984;0:23:43
166;232;1;21.979;1445.963;0:24:05
167;225;6;26.557;1472.52;0:24:32
168;232;12;32.757;1505.277;0:25:05
169;240;1;23.355;1528.632;0:25:28
170;235;3;26.010;1554.642;0:25:54
171;221;1;8.344;1562.986;0:26:02
172;222;3;25.909;1588.895;0:26:28
173;221;5;10.493;1599.388;0:26:39
174;205;2;8.215;1607.603;0:26:47
175;205;3;23.074;1630.677;0:27:10
176;203;6;9.797;1640.474;0:27:20
177;215;1;22.138;1662.612;0:27:42
178;216;3;25.278;1687.89;0:28:07
179;217;3;22.495;1710.385;0:28:30
180;217;1;24.469;1734.854;0:28:54
181;224;3;22.817;1757.671;0:29:17
182;225;7;25.370;1783.041;0:29:43
183;242;2;24.004;1807.045;0:30:07
184;242;6;27.446;1834.491;0:30:34
185;258;5;27.687;1862.178;0:31:02
186;265;2;30.213;1892.391;0:31:32
187;279;1;27.594;1919.985;0:31:59
188;285;1;29.105;1949.09;0:32:29
189;294;1;31.201;1980.291;0:33:00
190;300;3;34.166;2014.457;0:33:34
191;298;8;16.243;2030.7;0:33:50
192;299;3;34.289;2064.989;0:34:24
193;279;10;33.747;2098.736;0:34:58
194;279;1;28.457;2127.193;0:35:27
195;286;7;36.602;2163.795;0:36:03
196;287;9;34.105;2197.9;0:36:37
197;301;1;34.887;2232.787;0:37:12
198;301;4;33.190;2265.977;0:37:45
199;289;1;12.818;2278.795;0:37:58
200;298;3;33.141;2311.936;0:38:31
201;313;2;36.979;2348.915;0:39:08
202;315;3;37.285;2386.2;0:39:46
203;323;2;35.724;2421.924;0:40:21
204;324;2;35.954;2457.878;0:40:57
205;331;1;36.319;2494.197;0:41:34
206;330;4;38.305;2532.502;0:42:12
207;331;1;36.578;2569.08;0:42:49
208;338;1;37.477;2606.557;0:43:26
209;339;4;42.463;2649.02;0:44:09
210;338;6;20.018;2669.038;0:44:29
211;338;2;42.919;2711.957;0:45:11
212;339;3;43.687;2755.644;0:45:55
213;335;1;37.978;2793.622;0:46:33
214;334;1;17.168;2810.79;0:46:50
215;354;3;45.426;2856.216;0:47:36
216;354;7;45.341;2901.557;0:48:21
217;360;2;44.200;2945.757;0:49:05
218;359;13;25.363;2971.12;0:49:31
219;369;1;45.452;3016.572;0:50:16
220;367;6;43.691;3060.263;0:51:00
221;373;2;44.768;3105.031;0:51:45
222;367;2;40.658;3145.689;0:52:25
223;358;2;40.683;3186.372;0:53:06
224;365;2;45.305;3231.677;0:53:51
225;364;4;41.828;3273.505;0:54:33
226;365;5;42.926;3316.431;0:55:16
227;346;3;18.866;3335.297;0:55:35
228;347;10;47.844;3383.141;0:56:23
229;353;4;42.328;3425.469;0:57:05
230;355;1;41.742;3467.211;0:57:47
231;352;1;16.990;3484.201;0:58:04
232;353;1;41.487;3525.688;0:58:45
233;362;2;43.320;3569.008;0:59:29
234;360;1;17.968;3586.976;0:59:46
235;359;1;17.802;3604.778;1:00:04
236;360;4;47.562;3652.34;1:00:52
237;366;2;47.079;3699.419;1:01:39
238;382;9;48.510;3747.929;1:02:27
239;368;5;20.168;3768.097;1:02:48
240;369;3;44.277;3812.374;1:03:32
241;370;1;48.416;3860.79;1:04:20
242;377;1;44.594;3905.384;1:05:05
243;366;1;18.421;3923.805;1:05:23
244;384;5;49.012;3972.817;1:06:12
245;391;1;51.192;4024.009;1:07:04
246;376;9;24.659;4048.668;1:07:28
247;391;5;50.575;4099.243;1:08:19
248;400;2;53.317;4152.56;1:09:12
249;390;1;49.571;4202.131;1:10:02
250;374;2;20.447;4222.578;1:10:22
251;382;1;50.045;4272.623;1:11:12
252;391;2;51.651;4324.274;1:12:04
253;377;1;21.307;4345.581;1:12:25
254;377;2;55.536;4401.117;1:13:21
255;378;3;57.801;4458.918;1:14:18
256;385;1;57.770;4516.688;1:15:16
257;386;11;64.773;4581.461;1:16:21
258;372;2;23.229;4604.69;1:16:44
259;359;6;25.190;4629.88;1:17:09
260;343;1;20.719;4650.599;1:17:30
261;359;1;54.423;4705.022;1:18:25
262;358;1;54.625;4759.647;1:19:19
263;365;1;59.755;4819.402;1:20:19
264;356;1;57.616;4877.018;1:21:17
265;351;4;55.455;4932.473;1:22:12
266;358;6;62.266;4994.739;1:23:14
267;357;5;56.765;5051.504;1:24:11
268;364;2;60.838;5112.342;1:25:12
269;372;1;57.775;5170.117;1:26:10
270;370;3;23.258;5193.375;1:26:33
271;368;1;21.604;5214.979;1:26:54
272;374;1;60.503;5275.482;1:27:55
273;374;6;64.406;5339.888;1:28:59
274;381;7;64.458;5404.346;1:30:04
275;379;3;23.794;5428.14;1:30:28
276;385;2;62.677;5490.817;1:31:30
277;380;4;60.550;5551.367;1:32:31
278;392;3;62.426;5613.793;1:33:33
279;393;12;65.165;5678.958;1:34:38
280;378;1;56.006;5734.964;1:35:34
281;386;1;56.326;5791.29;1:36:31
282;375;1;21.933;5813.223;1:36:53
283;377;1;56.804;5870.027;1:37:50
284;378;2;58.300;5928.327;1:38:48
285;376;4;59.280;5987.607;1:39:47
286;368;1;56.433;6044.04;1:40:44
287;369;3;61.594;6105.634;1:41:45
288;367;2;21.996;6127.63;1:42:07
289;374;4;66.143;6193.773;1:43:13
290;372;1;21.840;6215.613;1:43:35
291;388;2;60.162;6275.775;1:44:35
292;385;1;22.367;6298.142;1:44:58
293;386;11;71.044;6369.186;1:46:09
294;372;13;29.762;6398.948;1:46:38
295;381;4;62.617;6461.565;1:47:41
296;379;5;25.123;6486.688;1:48:06
297;380;1;67.541;6554.229;1:49:14
298;382;2;62.732;6616.961;1:50:16
299;396;3;65.734;6682.695;1:51:22
300;397;3;66.058;6748.753;1:52:28
