ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;88;3;1.746;1.746;0:00:01
2;89;1;1.254;3.0;0:00:03
3;119;4;2.094;5.094;0:00:05
4;91;3;1.133;6.227;0:00:06
5;89;1;0.919;7.146;0:00:07
6;88;1;0.966;8.112;0:00:08
7;110;1;1.591;9.703;0:00:09
8;111;2;2.023;11.726;0:00:11
9;113;1;1.922;13.648;0:00:13
10;110;1;1.135;14.783;0:00:14
11;111;3;2.814;17.597;0:00:17
12;126;1;2.738;20.335;0:00:20
13;140;1;2.703;23.038;0:00:23
14;141;1;2.441;25.479;0:00:25
15;151;1;2.633;28.112;0:00:28
16;129;6;3.860;31.972;0:00:31
17;137;3;3.779;35.751;0:00:35
18;135;2;2.237;37.988;0:00:37
19;136;1;3.007;40.995;0:00:40
20;137;2;4.214;45.209;0:00:45
21;149;2;4.202;49.411;0:00:49
22;168;4;5.420;54.831;0:00:54
23;168;2;4.922;59.753;0:00:59
24;169;1;3.892;63.645;0:01:03
25;149;2;2.856;66.501;0:01:06
26;147;8;5.581;72.082;0:01:12
27;129;2;2.579;74.661;0:01:14
28;128;1;1.997;76.658;0:01:16
29;129;2;4.570;81.228;0:01:21
30;129;4;5.588;86.816;0:01:26
31;136;1;4.534;91.35;0:01:31
32;135;1;2.300;93.65;0:01:33
33;153;2;5.169;98.819;0:01:38
34;132;1;2.336;101.155;0:01:41
35;129;1;5.014;106.169;0:01:46
36;128;1;1.985;108.154;0:01:48
37;123;3;2.694;110.848;0:01:50
38;124;1;3.850;114.698;0:01:54
39;133;1;3.731;118.429;0:01:58
40;127;3;5.769;124.198;0:02:04
41;147;2;5.203;129.401;0:02:09
42;133;7;7.322;136.723;0:02:16
43;134;3;5.729;142.452;0:02:22
44;135;1;5.301;147.753;0:02:27
45;149;2;6.350;154.103;0:02:34
46;148;1;2.574;156.677;0:02:36
47;148;1;5.109;161.786;0:02:41
48;155;4;7.469;169.255;0:02:49
49;164;2;6.425;175.68;0:02:55
50;171;2;7.686;183.366;0:03:03
51;170;2;3.860;187.226;0:03:07
52;164;1;7.097;194.323;0:03:14
53;163;1;3.031;197.354;0:03:17
54;171;1;6.799;204.153;0:03:24
55;171;1;6.600;210.753;0:03:30
56;162;4;8.414;219.167;0:03:39
57;142;1;2.376;221.543;0:03:41
58;149;1;6.662;228.205;0:03:48
59;143;8;10.349;238.554;0:03:58
60;140;1;5.757;244.311;0:04:04
61;141;4;7.965;252.276;0:04:12
62;140;2;2.726;255.002;0:04:15
63;141;1;6.232;261.234;0:04:21
64;156;1;7.696;268.93;0:04:28
65;155;1;2.917;271.847;0:04:31
66;157;4;8.606;280.453;0:04:40
67;152;2;3.145;283.598;0:04:43
68;159;4;8.660;292.258;0:04:52
69;160;2;8.296;300.554;0:05:00
70;158;4;4.497;305.051;0:05:05
71;159;3;8.461;313.512;0:05:13
72;158;3;9.608;323.12;0:05:23
73;157;6;5.858;328.978;0:05:28
74;158;4;9.701;338.679;0:05:38
75;157;2;3.559;342.238;0:05:42
76;157;2;8.880;351.118;0:05:51
77;158;1;7.328;358.446;0:05:58
78;155;6;5.833;364.279;0:06:04
79;154;1;3.080;367.359;0:06:07
80;156;2;7.590;374.949;0:06:14
81;157;1;8.588;383.537;0:06:23
82;154;1;7.233;390.77;0:06:30
83;155;1;7.296;398.066;0:06:38
84;170;1;9.456;407.522;0:06:47
85;169;1;3.647;411.169;0:06:51
86;183;2;9.135;420.304;0:07:00
87;189;7;13.369;433.673;0:07:13
88;192;1;9.389;443.062;0:07:23
89;202;5;12.323;455.385;0:07:35
90;203;1;11.093;466.478;0:07:46
91;199;2;4.726;471.204;0:07:51
92;191;2;10.927;482.131;0:08:02
93;211;2;10.492;492.623;0:08:12
94;212;1;11.918;504.541;0:08:24
95;192;1;10.509;515.05;0:08:35
96;199;5;13.712;528.762;0:08:48
97;200;8;15.963;544.725;0:09:04
98;216;1;11.378;556.103;0:09:16
99;203;1;4.980;561.083;0:09:21
100;203;2;12.739;573.822;0:09:33
101;202;1;12.059;585.881;0:09:45
102;204;2;14.192;600.073;0:10:00
103;205;7;15.319;615.392;0:10:15
104;200;13;19.111;634.503;0:10:34
105;220;8;16.849;651.352;0:10:51
106;204;1;13.952;665.304;0:11:05
107;218;11;19.396;684.7;0:11:24
108;220;5;16.103;700.803;0:11:40
109;222;1;14.290;715.093;0:11:55
110;204;8;9.356;724.449;0:12:04
111;213;32;31.006;755.455;0:12:35
112;212;12;11.815;767.27;0:12:47
113;210;13;12.129;779.399;0:12:59
114;219;4;17.547;796.946;0:13:16
115;232;2;17.862;814.808;0:13:34
116;234;1;15.783;830.591;0:13:50
117;243;11;23.464;854.055;0:14:14
118;244;2;17.908;871.963;0:14:31
119;243;5;9.375;881.338;0:14:41
120;216;3;7.883;889.221;0:14:49
121;214;9;11.043;900.264;0:15:00
122;215;1;18.726;918.99;0:15:18
123;222;12;26.047;945.037;0:15:45
124;221;8;21.533;966.57;0:16:06
125;218;3;8.040;974.61;0:16:14
126;226;3;19.998;994.608;0:16:34
127;225;1;6.841;1001.449;0:16:41
128;221;8;22.515;1023.964;0:17:03
129;220;6;9.214;1033.178;0:17:13
130;226;1;17.584;1050.762;0:17:30
131;217;17;27.373;1078.135;0:17:58
132;224;5;21.022;1099.157;0:18:19
133;224;3;18.809;1117.966;0:18:37
134;226;20;28.016;1145.982;0:19:05
135;225;12;12.558;1158.54;0:19:18
136;222;2;6.741;1165.281;0:19:25
137;223;17;25.374;1190.655;0:19:50
138;237;1;17.397;1208.052;0:20:08
139;236;1;17.151;1225.203;0:20:25
140;251;1;19.989;1245.192;0:20:45
141;252;2;20.663;1265.855;0:21:05
142;237;1;17.963;1283.818;0:21:23
143;236;2;17.887;1301.705;0:21:41
