Year;Rank 1;Rank 2;Rank 3;Rank 4;Rank 5;Rank 6;Rank 7;Rank 8;Rank 9;Rank 10
1979;THOMAS;KRISTIAN;LARS;JAN;ANDERS;STIAN;OLE;MORTEN;BJØRN;ESPEN
1980;KRISTIAN;THOMAS;LARS;STIAN;JAN;ANDERS;MORTEN;OLE;ØYVIND;TOR
1981;KRISTIAN;THOMAS;LARS;ANDERS;STIAN;JAN;OLE;MORTEN;BJØRN;ESPEN
1982;KRISTIAN;THOMAS;LARS;STIAN;ANDERS;ØYVIND;MORTEN;ESPEN;OLE;JAN
1983;KRISTIAN;THOMAS;STIAN;LARS;ANDERS;JAN;OLE;MORTEN;ESPEN;ANDREAS
1984;KRISTIAN;THOMAS;STIAN;ANDERS;LARS;ANDREAS;ESPEN;MORTEN;KRISTOFFER;OLE
1985;KRISTIAN;THOMAS;STIAN;ANDERS;ALEXANDER;LARS;ANDREAS;KRISTOFFER;OLE;ESPEN
1986;KRISTIAN;THOMAS;ALEXANDER;STIAN;KRISTOFFER;LARS;MORTEN;ANDREAS;ANDERS;MARIUS
1987;THOMAS;KRISTIAN;STIAN;ALEXANDER;KRISTOFFER;ANDREAS;MORTEN;LARS;MARTIN;DANIEL
1988;KRISTIAN;THOMAS;KRISTOFFER;STIAN;ANDREAS;ALEXANDER;MARIUS;DANIEL;ANDERS;MARTIN
1989;KRISTIAN;THOMAS;KRISTOFFER;ALEXANDER;ANDREAS;STIAN;MARIUS;DANIEL;MARTIN;ANDERS
1990;KRISTIAN;THOMAS;KRISTOFFER;ANDREAS;ALEXANDER;STIAN;DANIEL;MARTIN;MARIUS;ANDERS
1991;KRISTIAN;KRISTOFFER;ANDREAS;THOMAS;MARTIN;ALEXANDER;MARIUS;DANIEL;JOAKIM;STIAN
1992;MARTIN;KRISTOFFER;ANDREAS;KRISTIAN;THOMAS;DANIEL;ALEXANDER;MARIUS;JOAKIM;OLE
1993;MARTIN;KRISTOFFER;KRISTIAN;ANDREAS;THOMAS;DANIEL;ALEXANDER;MARIUS;JOAKIM;OLE
1994;MARTIN;KRISTIAN;KRISTOFFER;ANDREAS;THOMAS;DANIEL;MARIUS;JOAKIM;OLE;ALEXANDER
1995;MARTIN;ANDREAS;KRISTIAN;KRISTOFFER;JOAKIM;THOMAS;MARIUS;DANIEL;ALEXANDER;HENRIK
1996;KRISTIAN;MARTIN;ANDREAS;KRISTOFFER;DANIEL;MARKUS;HENRIK;JOAKIM;JONAS;MAGNUS
1997;ANDREAS;KRISTIAN;MARKUS;MARTIN;KRISTOFFER;THOMAS;JONAS;DANIEL;ALEXANDER;MARIUS
1998;KRISTIAN;MARKUS;MARTIN;SANDER;ANDREAS;KRISTOFFER;DANIEL;ALEXANDER;THOMAS;MAGNUS
1999;MARKUS;MARTIN;KRISTIAN;ANDREAS;SANDER;KRISTOFFER;MATHIAS;JONAS;THOMAS;ALEXANDER
2000;MARKUS;KRISTIAN;MARTIN;SANDER;KRISTOFFER;MATHIAS;ANDREAS;JONAS;HENRIK;DANIEL
2001;MARKUS;KRISTIAN;MARTIN;ANDREAS;SANDER;KRISTOFFER;MATHIAS;HENRIK;JONAS;MARIUS
2002;MARKUS;KRISTIAN;MARTIN;MATHIAS;ANDREAS;SANDER;JONAS;KRISTOFFER;HENRIK;MAGNUS
2003;MATHIAS;TOBIAS;JONAS;ANDREAS;KRISTIAN;MARTIN;MARKUS;SANDER;KRISTOFFER;DANIEL
2004;MATHIAS;MARKUS;MARTIN;ANDREAS;JONAS;KRISTIAN;TOBIAS;DANIEL;ALEXANDER;SANDER
2005;MARKUS;KRISTIAN;MATHIAS;JONAS;TOBIAS;ALEXANDER;ADRIAN;ANDREAS;MAGNUS;HENRIK
2006;JONAS;MATHIAS;ALEXANDER;ELIAS;KRISTIAN;ANDREAS;MARKUS;SANDER;SEBASTIAN;EMIL
2007;MATHIAS;ALEXANDER;LUCAS;KRISTIAN;JONAS;MARKUS;EMIL;MAGNUS;ELIAS;HENRIK
2008;LUCAS;MATHIAS;EMIL;MARKUS;OLIVER;JONAS;MAGNUS;ALEXANDER;KRISTIAN;ANDREAS
2009;LUCAS;ALEXANDER;EMIL;MATHIAS;MAGNUS;OLIVER;MARKUS;JONAS;WILLIAM;KRISTIAN
2010;LUCAS;EMIL;MATHIAS;WILLIAM;MARKUS;MAGNUS;JONAS;KRISTIAN;OLIVER;ALEXANDER
2011;LUCAS;EMIL;MATHIAS;MAGNUS;NOAH;JONAS;FILIP;WILLIAM;OLIVER;ALEXANDER
2012;LUCAS;MATHIAS;WILLIAM;EMIL;ALEXANDER;JONAS;OSKAR;MAGNUS;MARKUS;OLIVER
2013;FILIP;LUCAS;WILLIAM;OSKAR;OLIVER;MATHIAS;JAKOB;ALEXANDER;MAGNUS;ISAK
2014;WILLIAM;LUCAS;EMIL;MARKUS;MATHIAS;JAKOB;OSKAR;FILIP;MAGNUS;HENRIK
2015;WILLIAM;FILIP;LUCAS;JAKOB;OLIVER;MATHIAS;AKSEL;LIAM;OSKAR;EMIL
2016;WILLIAM;OSKAR;LUCAS;MATHIAS;OLIVER;FILIP;AKSEL;JAKOB;NOAH;EMIL
2017;JAKOB;EMIL;OSKAR;LUCAS;OLIVER;FILIP;NOAH;WILLIAM;ELIAS;HENRIK
2018;LUCAS;FILIP;OLIVER;OSKAR;JAKOB;EMIL;NOAH;HENRIK;AKSEL;ELIAS
2019;JAKOB;LUCAS;FILIP;OSKAR;EMIL;WILLIAM;HENRIK;OLIVER;NOAH;THEODOR
2020;JAKOB;EMIL;NOAH;OLIVER;FILIP;WILLIAM;LUCAS;LIAM;HENRIK;OSKAR
2021;NOAH;OSKAR;OLIVER;LUCAS;ISAK;AKSEL;EMIL;FILIP;JAKOB;WILLIAM
2022;JAKOB;NOAH;EMIL;LUCAS;OLIVER;ISAK;WILLIAM;FILIP;AKSEL;THEODOR
2023;LUCAS;NOAH;ISAK;OLIVER;KASPER;ELIAS;EMIL;JAKOB;OSKAR;THEODOR
