ITERATION;LEN(HYP);SAMPLENR;RUNTIME(sample);RUNTIME(total)s;RUNTIME(total)
1;94;1;0.965;0.965;0:00:00
2;110;2;1.683;2.648;0:00:02
3;118;4;2.316;4.964;0:00:04
4;92;3;0.945;5.909;0:00:05
5;89;1;0.554;6.463;0:00:06
6;88;1;0.632;7.095;0:00:07
7;87;3;1.640;8.735;0:00:08
8;102;1;1.413;10.148;0:00:10
9;91;1;1.760;11.908;0:00:11
10;88;2;1.268;13.176;0:00:13
11;97;3;2.590;15.766;0:00:15
12;96;2;1.470;17.236;0:00:17
13;108;3;2.800;20.036;0:00:20
14;109;7;4.495;24.531;0:00:24
15;110;3;3.262;27.793;0:00:27
16;130;1;2.894;30.687;0:00:30
17;133;7;5.626;36.313;0:00:36
18;140;6;5.461;41.774;0:00:41
19;147;3;4.169;45.943;0:00:45
20;141;2;4.536;50.479;0:00:50
21;150;2;4.640;55.119;0:00:55
22;166;2;5.055;60.174;0:01:00
23;175;1;4.692;64.866;0:01:04
24;157;4;4.546;69.412;0:01:09
25;154;1;2.853;72.265;0:01:12
26;146;8;8.267;80.532;0:01:20
27;145;2;3.184;83.716;0:01:23
28;145;1;4.699;88.415;0:01:28
29;146;4;6.166;94.581;0:01:34
30;126;4;3.981;98.562;0:01:38
31;123;1;2.332;100.894;0:01:40
32;132;1;4.201;105.095;0:01:45
33;125;7;7.567;112.662;0:01:52
34;126;1;4.939;117.601;0:01:57
35;125;2;3.026;120.627;0:02:00
36;126;1;4.726;125.353;0:02:05
37;135;1;5.211;130.564;0:02:10
38;136;2;5.846;136.41;0:02:16
39;135;1;5.569;141.979;0:02:21
40;136;3;6.450;148.429;0:02:28
41;135;2;3.303;151.732;0:02:31
42;144;3;6.354;158.086;0:02:38
43;142;2;3.393;161.479;0:02:41
44;141;1;2.987;164.466;0:02:44
45;147;1;5.873;170.339;0:02:50
46;146;1;3.211;173.55;0:02:53
47;147;3;6.850;180.4;0:03:00
48;167;2;6.656;187.056;0:03:07
49;174;2;7.357;194.413;0:03:14
50;194;4;9.352;203.765;0:03:23
51;196;3;8.928;212.693;0:03:32
52;202;1;8.142;220.835;0:03:40
53;203;8;13.085;233.92;0:03:53
54;200;1;4.601;238.521;0:03:58
55;193;5;10.353;248.874;0:04:08
56;194;5;11.604;260.478;0:04:20
57;188;5;11.372;271.85;0:04:31
58;197;1;8.706;280.556;0:04:40
59;190;1;9.805;290.361;0:04:50
60;199;1;9.211;299.572;0:04:59
61;199;1;9.755;309.327;0:05:09
62;185;1;9.036;318.363;0:05:18
63;186;2;10.168;328.531;0:05:28
64;201;3;10.290;338.821;0:05:38
65;199;2;5.369;344.19;0:05:44
66;199;5;11.636;355.826;0:05:55
67;194;1;10.911;366.737;0:06:06
68;187;3;10.651;377.388;0:06:17
69;186;2;10.155;387.543;0:06:27
70;184;2;10.803;398.346;0:06:38
71;180;1;4.306;402.652;0:06:42
72;181;5;11.036;413.688;0:06:53
73;180;1;8.680;422.368;0:07:02
74;181;1;9.463;431.831;0:07:11
75;182;1;8.981;440.812;0:07:20
76;188;1;9.107;449.919;0:07:29
77;184;1;4.127;454.046;0:07:34
78;185;2;10.667;464.713;0:07:44
