ITERATION,HYP LEN,SAMPLENR,RUNTIME
1,113,6,6.527
2,115,4,3.554
3,116,2,2.666
4,118,2,1.825
5,91,1,5.669
6,88,2,1.783
7,87,2,1.656
8,114,1,9.181
9,140,1,10.454
10,142,2,11.128
