ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
dronning;43;1;0.04;0.013;-0.027
r;24;19;0.018;0.018;0.0
fisker;16;27;0.02;0.035;0.015
helt;7;35;0.007;0.024;0.016
poet;18;23;0.024;0.029;0.005
fantastisk;35;6;0.021;0.022;0.001
kjempe;0;41;0.0;0.016;0.016
kjæreste;29;11;0.02;0.026;0.006
svensk;33;4;0.025;0.015;-0.009
fjord;19;16;0.097;0.093;-0.004
liv;35;0;0.082;0.0;-0.082
svenske;8;27;0.015;0.018;0.003
hertug;0;34;0.0;0.036;0.036
alex;9;25;0.01;0.016;0.006
administrator;0;32;0.0;0.028;0.028
søster;32;0;0.02;0.0;-0.02
pastor;0;31;0.0;0.041;0.041
film;23;8;0.023;0.016;-0.008
barnevakt;31;0;0.029;0.0;-0.029
programleder;16;15;0.061;0.03;-0.031
predikant;0;30;0.0;0.033;0.033
ski;19;11;0.031;0.022;-0.009
##esse;30;0;0.032;0.0;-0.032
gentleman;0;29;0.0;0.028;0.028
thomas;0;29;0.0;0.183;0.183
kokke;29;0;0.034;0.0;-0.034
favoritt;24;5;0.019;0.013;-0.006
homofil;0;29;0.0;0.051;0.051
webmaster;0;28;0.0;0.037;0.037
bl;25;3;0.029;0.02;-0.009
agent;10;17;0.015;0.028;0.012
prinsesse;27;0;0.028;0.0;-0.028
ting;21;6;0.046;0.011;-0.035
jarl;0;27;0.0;0.047;0.047
knut;0;27;0.0;0.278;0.278
søn;1;26;0.024;0.023;-0.001
kaptein;3;23;0.004;0.022;0.018
elv;17;9;0.043;0.038;-0.005
emil;0;26;0.0;0.166;0.166
gåte;20;6;0.017;0.014;-0.003
solist;26;0;0.026;0.0;-0.026
landsby;15;10;0.041;0.018;-0.023
henrik;0;25;0.0;0.068;0.068
slik;11;14;0.007;0.017;0.01
per;0;24;0.0;0.132;0.132
meg;6;18;0.029;0.015;-0.014
escort;19;4;0.029;0.03;0.001
spiller;5;18;0.009;0.039;0.03
fisk;11;12;0.022;0.024;0.001
bok;11;12;0.018;0.014;-0.004
anne;23;0;0.119;0.0;-0.119
emma;23;0;0.251;0.0;-0.251
jakob;0;23;0.0;0.189;0.189
martin;0;23;0.0;0.088;0.088
del;15;8;0.012;0.018;0.006
prins;4;19;0.013;0.029;0.016
kontorsjef;0;23;0.0;0.021;0.021
filosof;5;17;0.006;0.017;0.011
bjørn;0;22;0.0;0.086;0.086
linn;22;0;0.092;0.0;-0.092
jenny;22;0;0.569;0.0;-0.569
harald;0;22;0.0;0.101;0.101
danske;1;21;0.031;0.02;-0.011
gartner;10;12;0.027;0.021;-0.006
veileder;12;10;0.024;0.027;0.003
william;0;21;0.0;0.036;0.036
regent;2;19;0.036;0.026;-0.01
liam;0;21;0.0;0.609;0.609
son;1;20;0.026;0.025;-0.001
br;1;20;0.017;0.026;0.009
noah;0;21;0.0;0.261;0.261
johannes;0;21;0.0;0.124;0.124
julie;21;0;0.165;0.0;-0.165
gerd;21;0;0.119;0.0;-0.119
mary;21;0;0.118;0.0;-0.118
slave;15;6;0.015;0.023;0.009
assistenttrener;6;15;0.042;0.034;-0.008
maria;20;0;0.071;0.0;-0.071
tone;20;0;0.127;0.0;-0.127
jan;0;20;0.0;0.174;0.174
eva;20;0;0.145;0.0;-0.145
heidi;20;0;0.137;0.0;-0.137
lucas;0;20;0.0;0.093;0.093
oskar;0;20;0.0;0.15;0.15
karl;0;20;0.0;0.147;0.147
alexander;0;20;0.0;0.225;0.225
nora;20;0;0.123;0.0;-0.123
nybegynner;0;20;0.0;0.023;0.023
var;14;5;0.028;0.017;-0.011
konsul;1;18;0.02;0.061;0.041
ridder;0;19;0.0;0.026;0.026
ord;6;13;0.015;0.029;0.015
markus;0;19;0.0;0.118;0.118
sara;19;0;0.289;0.0;-0.289
ann;19;0;0.136;0.0;-0.136
ruth;19;0;0.639;0.0;-0.639
emilie;19;0;0.438;0.0;-0.438
marianne;19;0;0.446;0.0;-0.446
sebastian;0;19;0.0;0.207;0.207
christian;0;19;0.0;0.02;0.02
adrian;0;19;0.0;0.204;0.204
oliver;0;19;0.0;0.369;0.369
frida;19;0;0.158;0.0;-0.158
sofia;19;0;0.081;0.0;-0.081
daniel;0;19;0.0;0.091;0.091
tor;2;17;0.019;0.251;0.232
sagt;0;19;0.0;0.02;0.02
wenche;19;0;0.293;0.0;-0.293
veldig;11;7;0.022;0.029;0.007
o;12;6;0.025;0.025;0.001
art;13;5;0.156;0.02;-0.136
olivia;18;0;0.247;0.0;-0.247
mona;18;0;0.271;0.0;-0.271
olga;18;0;0.182;0.0;-0.182
alma;18;0;0.22;0.0;-0.22
rolf;0;18;0.0;0.198;0.198
lea;18;0;0.146;0.0;-0.146
theodor;0;18;0.0;0.068;0.068
fighter;11;7;0.022;0.027;0.005
planlagt;1;17;0.011;0.03;0.018
</s>;5;12;0.02;0.026;0.006
direktør;6;11;0.028;0.029;0.001
a;12;5;0.017;0.013;-0.004
baron;0;17;0.0;0.027;0.027
slekt;11;6;0.066;0.016;-0.051
familie;14;3;0.022;0.019;-0.003
karen;17;0;0.191;0.0;-0.191
helene;17;0;0.131;0.0;-0.131
sigurd;0;17;0.0;0.113;0.113
kjell;0;17;0.0;0.199;0.199
anders;0;17;0.0;0.142;0.142
nils;0;17;0.0;0.146;0.146
marius;0;17;0.0;0.168;0.168
filip;0;17;0.0;0.087;0.087
linda;17;0;0.088;0.0;-0.088
kommun;13;4;0.045;0.034;-0.011
kl;5;12;0.019;0.021;0.002
lærerinne;17;0;0.03;0.0;-0.03
gave;15;1;0.021;0.003;-0.018
har;13;3;0.031;0.027;-0.004
dal;10;6;0.044;0.037;-0.007
rune;0;16;0.0;0.314;0.314
nina;16;0;0.142;0.0;-0.142
