ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);P(PPBS)
liv;35;0;0.082;0.0;-0.082
helt;7;35;0.005;0.024;0.018
hertug;0;34;0.0;0.037;0.037
svensk;33;4;0.027;0.007;-0.019
administrator;0;32;0.0;0.027;0.027
søster;32;0;0.02;0.0;-0.02
pastor;0;31;0.0;0.038;0.038
barnevakt;31;0;0.029;0.0;-0.029
predikant;0;30;0.0;0.033;0.033
##esse;30;0;0.032;0.0;-0.032
kjæreste;29;11;0.02;0.026;0.006
gentleman;0;29;0.0;0.028;0.028
roman;29;21;0.021;0.013;-0.009
thomas;0;29;0.0;0.183;0.183
kokke;29;0;0.034;0.0;-0.034
homofil;0;29;0.0;0.051;0.051
kunstner;29;17;0.031;0.016;-0.015
seiler;29;17;0.024;0.024;0.0
webmaster;0;28;0.0;0.037;0.037
dust;28;28;0.034;0.04;0.006
prinsesse;27;0;0.027;0.0;-0.027
jarl;0;27;0.0;0.047;0.047
knut;0;27;0.0;0.278;0.278
svenske;8;27;0.015;0.018;0.003
fisker;16;27;0.015;0.036;0.021
søn;1;26;0.024;0.023;-0.001
emil;0;26;0.0;0.165;0.165
solist;26;0;0.026;0.0;-0.026
bl;25;3;0.029;0.02;-0.009
alex;9;25;0.01;0.016;0.006
henrik;0;25;0.0;0.068;0.068
r;24;19;0.018;0.018;0.0
per;0;24;0.0;0.132;0.132
favoritt;24;5;0.019;0.013;-0.006
poet;18;23;0.024;0.029;0.005
kaptein;3;23;0.002;0.021;0.019
film;23;8;0.021;0.015;-0.005
anne;23;0;0.119;0.0;-0.119
emma;23;0;0.251;0.0;-0.251
jakob;0;23;0.0;0.189;0.189
martin;0;23;0.0;0.088;0.088
kontorsjef;0;23;0.0;0.021;0.021
bjørn;0;22;0.0;0.079;0.079
linn;22;0;0.092;0.0;-0.092
jenny;22;0;0.569;0.0;-0.569
harald;0;22;0.0;0.101;0.101
ting;21;6;0.052;0.015;-0.037
william;0;21;0.0;0.034;0.034
liam;0;21;0.0;0.609;0.609
noah;0;21;0.0;0.261;0.261
johannes;0;21;0.0;0.124;0.124
julie;21;0;0.165;0.0;-0.165
gerd;21;0;0.099;0.0;-0.099
mary;21;0;0.118;0.0;-0.118
danske;1;21;0.031;0.02;-0.011
maria;20;0;0.072;0.0;-0.072
tone;20;0;0.127;0.0;-0.127
br;1;20;0.017;0.026;0.009
son;1;20;0.026;0.025;-0.001
jan;0;20;0.0;0.174;0.174
eva;20;0;0.145;0.0;-0.145
heidi;20;0;0.137;0.0;-0.137
lucas;0;20;0.0;0.093;0.093
alexander;0;20;0.0;0.225;0.225
oskar;0;20;0.0;0.15;0.15
karl;0;20;0.0;0.147;0.147
nora;20;0;0.098;0.0;-0.098
gåte;20;6;0.017;0.014;-0.003
nybegynner;0;20;0.0;0.023;0.023
escort;19;4;0.029;0.03;0.001
fjord;19;16;0.097;0.093;-0.004
regent;2;19;0.036;0.026;-0.01
ridder;0;19;0.0;0.026;0.026
markus;0;19;0.0;0.118;0.118
ski;19;11;0.031;0.022;-0.009
ann;19;0;0.136;0.0;-0.136
ruth;19;0;0.639;0.0;-0.639
marianne;19;0;0.446;0.0;-0.446
sara;19;0;0.289;0.0;-0.289
emilie;19;0;0.438;0.0;-0.438
oliver;0;19;0.0;0.369;0.369
adrian;0;19;0.0;0.204;0.204
sebastian;0;19;0.0;0.207;0.207
christian;0;19;0.0;0.02;0.02
sofia;19;0;0.081;0.0;-0.081
frida;19;0;0.158;0.0;-0.158
daniel;0;19;0.0;0.091;0.091
prins;4;19;0.013;0.03;0.016
sagt;0;19;0.0;0.02;0.02
wenche;19;0;0.293;0.0;-0.293
spiller;5;18;0.004;0.044;0.041
konsul;1;18;0.02;0.061;0.041
alma;18;0;0.22;0.0;-0.22
olivia;18;0;0.247;0.0;-0.247
olga;18;0;0.182;0.0;-0.182
mona;18;0;0.271;0.0;-0.271
rolf;0;18;0.0;0.198;0.198
lea;18;0;0.146;0.0;-0.146
theodor;0;18;0.0;0.068;0.068
meg;6;18;0.028;0.015;-0.014
agent;10;17;0.025;0.031;0.006
filosof;5;17;0.004;0.019;0.015
elv;17;9;0.043;0.038;-0.005
baron;0;17;0.0;0.027;0.027
helene;17;0;0.131;0.0;-0.131
karen;17;0;0.191;0.0;-0.191
tor;2;17;0.019;0.251;0.232
marius;0;17;0.0;0.168;0.168
anders;0;17;0.0;0.142;0.142
kjell;0;17;0.0;0.199;0.199
nils;0;17;0.0;0.146;0.146
sigurd;0;17;0.0;0.113;0.113
filip;0;17;0.0;0.087;0.087
linda;17;0;0.088;0.0;-0.088
lærerinne;17;0;0.03;0.0;-0.03
planlagt;1;17;0.011;0.03;0.019
rune;0;16;0.0;0.314;0.314
monica;16;0;0.156;0.0;-0.156
nina;16;0;0.142;0.0;-0.142
andreas;0;16;0.0;0.124;0.124
lars;0;16;0.0;0.12;0.12
johan;0;16;0.0;0.162;0.162
line;16;0;0.108;0.0;-0.108
programleder;16;15;0.061;0.03;-0.031
gave;15;1;0.021;0.002;-0.019
landsby;15;10;0.041;0.013;-0.028
ole;0;15;0.0;0.056;0.056
del;15;8;0.012;0.018;0.007
slave;15;6;0.015;0.023;0.009
heks;15;0;0.013;0.0;-0.013
assistenttrener;6;15;0.042;0.034;-0.008
ble;14;1;0.022;0.024;0.002
var;14;5;0.028;0.017;-0.011
familie;14;3;0.021;0.027;0.005
amalie;14;0;0.078;0.0;-0.078
helga;14;0;0.111;0.0;-0.111
olaf;0;14;0.0;0.143;0.143
matt;0;14;0.0;0.016;0.016
kristian;0;14;0.0;0.129;0.129
christina;14;0;0.038;0.0;-0.038
odd;0;14;0.0;0.077;0.077
slik;11;14;0.007;0.017;0.01
eiendomsmegler;0;14;0.0;0.021;0.021
er;13;2;0.025;0.009;-0.015
har;13;3;0.031;0.027;-0.004
art;13;5;0.2;0.015;-0.185
ord;6;13;0.015;0.029;0.014
kommun;13;4;0.045;0.034;-0.011
marie;13;0;0.05;0.0;-0.05
ingrid;13;0;0.177;0.0;-0.177
camilla;13;0;0.181;0.0;-0.181
kristin;13;0;0.069;0.0;-0.069
magnus;0;13;0.0;0.105;0.105
ham;1;13;0.005;0.022;0.017
kar;0;13;0.0;0.025;0.025
dykker;0;13;0.0;0.026;0.026
</s>;5;12;0.02;0.026;0.006
fisk;11;12;0.024;0.022;-0.002
a;12;5;0.017;0.013;-0.004
bangla;12;2;0.021;0.015;-0.006
eskort;12;0;0.031;0.0;-0.031
designer;12;0;0.024;0.0;-0.024
o;12;6;0.025;0.025;0.001
bok;11;12;0.02;0.011;-0.009
kl;5;12;0.019;0.021;0.002
marta;12;0;0.112;0.0;-0.112
ellie;12;0;0.006;0.0;-0.006
elisabeth;12;0;0.076;0.0;-0.076
else;12;0;0.122;0.0;-0.122
ida;12;0;0.116;0.0;-0.116
olav;0;12;0.0;0.062;0.062
maja;12;0;0.068;0.0;-0.068
gartner;10;12;0.027;0.021;-0.006
sjel;12;0;0.025;0.0;-0.025
veileder;12;10;0.024;0.027;0.003
direktør;6;11;0.031;0.028;-0.002
veldig;11;7;0.022;0.029;0.007
slekt;11;6;0.06;0.012;-0.049
keiser;0;11;0.0;0.036;0.036
ev;11;0;0.017;0.0;-0.017
gunnar;0;11;0.0;0.097;0.097
tobias;0;11;0.0;0.126;0.126
astrid;11;0;0.077;0.0;-0.077
fighter;11;7;0.022;0.027;0.005
trønder;0;11;0.0;0.015;0.015
skiskytter;0;11;0.0;0.05;0.05
arkeolog;2;10;0.035;0.011;-0.024
lag;0;10;0.0;0.043;0.043
dal;10;6;0.044;0.037;-0.007
bank;10;5;0.045;0.017;-0.028
margit;10;0;0.058;0.0;-0.058
kari;10;0;0.101;0.0;-0.101
leif;0;10;0.0;0.075;0.075
håkon;0;10;0.0;0.06;0.06
mathias;0;10;0.0;0.068;0.068
inga;10;0;0.056;0.0;-0.056
helsesøster;10;0;0.019;0.0;-0.019
trenere;0;10;0.0;0.051;0.051
vulkan;9;6;0.024;0.014;-0.009
hanna;9;0;0.07;0.0;-0.07
aleksander;0;9;0.0;0.017;0.017
statue;3;9;0.016;0.043;0.027
skredder;3;9;0.024;0.013;-0.01
aksel;0;9;0.0;0.056;0.056
regissør;9;7;0.03;0.017;-0.014
faglærer;9;0;0.031;0.0;-0.031
drøm;8;4;0.059;0.006;-0.053
ø;7;8;0.016;0.018;0.002
viking;1;8;0.012;0.035;0.022
asteroide;8;3;0.068;0.028;-0.04
morten;0;8;0.0;0.049;0.049
carl;0;8;0.0;0.019;0.019
hunn;8;0;0.02;0.0;-0.02
venninne;8;0;0.032;0.0;-0.032
oss;5;8;0.032;0.042;0.01
hovedtrener;1;8;0.026;0.032;0.006
lensmann;0;8;0.0;0.038;0.038
by;7;2;0.18;0.005;-0.175
bangladesh;7;2;0.023;0.011;-0.012
tysk;7;2;0.023;0.003;-0.02
figur;0;7;0.0;0.045;0.045
diplomat;1;7;0.009;0.031;0.021
reporter;6;7;0.027;0.018;-0.009
ingeborg;7;0;0.061;0.0;-0.061
anna;7;0;0.035;0.0;-0.035
gigant;0;7;0.0;0.013;0.013
storebror;0;7;0.0;0.022;0.022
dem;0;7;0.0;0.052;0.052
dag;6;1;0.036;0.002;-0.034
linje;6;0;0.021;0.0;-0.021
liten;6;0;0.019;0.0;-0.019
fodboldspiller;0;6;0.0;0.025;0.025
gud;2;6;0.013;0.065;0.051
voksne;6;0;0.021;0.0;-0.021
sang;6;0;0.042;0.0;-0.042
komponist;6;4;0.007;0.021;0.014
danmark;6;3;0.016;0.017;0.001
musikk;6;2;0.023;0.012;-0.011
marte;6;0;0.045;0.0;-0.045
sam;1;6;0.012;0.007;-0.005
ella;6;0;0.1;0.0;-0.1
peder;0;6;0.0;0.038;0.038
jonas;0;6;0.0;0.055;0.055
ryan;0;6;0.0;0.004;0.004
einar;0;6;0.0;0.052;0.052
kopi;6;1;0.03;0.051;0.021
gut;0;6;0.0;0.023;0.023
venter;1;6;0.016;0.015;-0.001
forkortelse;6;0;0.027;0.0;-0.027
klem;4;6;0.013;0.014;0.001
hjemmehjelp;6;0;0.026;0.0;-0.026
husmor;6;0;0.029;0.0;-0.029
astronaut;5;0;0.024;0.0;-0.024
profet;0;5;0.0;0.033;0.033
skole;5;0;0.011;0.0;-0.011
der;5;0;0.015;0.0;-0.015
kamp;5;1;0.015;0.009;-0.006
martyr;2;5;0.026;0.034;0.008
fjell;5;4;0.048;0.029;-0.018
mennesker;5;0;0.021;0.0;-0.021
senator;5;2;0.008;0.018;0.01
storm;5;1;0.024;0.038;0.014
##k;5;0;0.021;0.0;-0.021
klasse;5;1;0.019;0.022;0.003
de;5;1;0.011;0.013;0.002
bil;5;2;0.005;0.011;0.006
li;5;0;0.012;0.0;-0.012
mon;5;0;0.009;0.0;-0.009
luke;0;5;0.0;0.008;0.008
charlie;0;5;0.0;0.005;0.005
elias;0;5;0.0;0.04;0.04
sander;0;5;0.0;0.084;0.084
lego;0;5;0.0;0.023;0.023
voksen;1;5;0.041;0.033;-0.008
isak;0;5;0.0;0.052;0.052
misjonær;5;0;0.047;0.0;-0.047
optimist;1;4;0.02;0.028;0.008
gang;4;4;0.007;0.009;0.002
søker;4;0;0.027;0.0;-0.027
farmaceut;4;0;0.03;0.0;-0.03
sexy;4;0;0.015;0.0;-0.015
du;4;1;0.042;0.047;0.005
soldater;4;0;0.023;0.0;-0.023
saga;4;2;0.04;0.016;-0.024
sanger;4;0;0.026;0.0;-0.026
s;4;4;0.017;0.014;-0.003
beste;4;0;0.027;0.0;-0.027
ada;4;0;0.076;0.0;-0.076
lilly;4;0;0.004;0.0;-0.004
anita;4;0;0.03;0.0;-0.03
pr;4;2;0.008;0.013;0.005
sean;0;4;0.0;0.006;0.006
jacob;0;4;0.0;0.012;0.012
gresk;0;4;0.0;0.164;0.164
besatt;4;2;0.097;0.035;-0.062
kriger;1;4;0.01;0.033;0.023
fugl;4;0;0.194;0.0;-0.194
maskin;4;1;0.039;0.041;0.002
prosjektleder;3;4;0.032;0.036;0.004
statsråd;4;0;0.06;0.0;-0.06
dommer;0;4;0.0;0.038;0.038
landslagssjef;0;4;0.0;0.029;0.029
venner;0;4;0.0;0.03;0.03
petter;0;4;0.0;0.051;0.051
skytter;0;4;0.0;0.021;0.021
kona;3;0;0.03;0.0;-0.03
hest;0;3;0.0;0.022;0.022
tid;3;0;0.028;0.0;-0.028
admin;3;0;0.021;0.0;-0.021
stemme;3;0;0.013;0.0;-0.013
kan;3;0;0.021;0.0;-0.021
planet;3;0;0.089;0.0;-0.089
singel;3;0;0.031;0.0;-0.031
helst;3;0;0.023;0.0;-0.023
plante;3;1;0.026;0.004;-0.022
sms;1;3;0.013;0.007;-0.006
søndag;3;0;0.027;0.0;-0.027
kort;3;1;0.01;0.006;-0.004
doktor;3;0;0.02;0.0;-0.02
sheriff;3;0;0.018;0.0;-0.018
minister;0;3;0.0;0.028;0.028
teolog;0;3;0.0;0.044;0.044
pave;0;3;0.0;0.044;0.044
president;0;3;0.0;0.026;0.026
arbeider;3;1;0.017;0.011;-0.006
kandidat;3;2;0.017;0.016;-0.001
fl;3;1;0.024;0.017;-0.007
mineral;3;0;0.03;0.0;-0.03
sv;3;1;0.041;0.031;-0.01
ol;2;3;0.005;0.006;0.001
fred;0;3;0.0;0.012;0.012
mr;0;3;0.0;0.007;0.007
marcus;0;3;0.0;0.014;0.014
##ken;3;0;0.026;0.0;-0.026
korban;1;3;0.021;0.022;0.001
tredje;0;3;0.0;0.021;0.021
landslagstrener;3;1;0.033;0.031;-0.002
megler;2;3;0.03;0.029;-0.001
innsjø;3;0;0.056;0.0;-0.056
forsker;3;0;0.03;0.0;-0.03
fotballspillere;0;3;0.0;0.032;0.032
katt;3;1;0.019;0.013;-0.006
jeger;0;3;0.0;0.02;0.02
moderator;2;1;0.068;0.241;0.173
læge;1;2;0.042;0.049;0.007
dreng;2;1;0.02;0.015;-0.005
ami;2;1;0.006;0.012;0.006
ei;2;2;0.052;0.045;-0.007
kollega;2;0;0.024;0.0;-0.024
1;0;2;0.0;0.051;0.051
guide;2;1;0.033;0.024;-0.01
asteroid;2;0;0.041;0.0;-0.041
datingside;0;2;0.0;0.011;0.011
mentor;0;2;0.0;0.027;0.027
rose;2;1;0.006;0.009;0.003
og;0;2;0.0;0.032;0.032
muslim;0;2;0.0;0.018;0.018
i;2;2;0.016;0.018;0.002
driver;1;2;0.016;0.02;0.004
den;2;2;0.017;0.018;0.001
meget;2;2;0.024;0.022;-0.002
gulo;0;2;0.0;0.028;0.028
ett;0;2;0.0;0.014;0.014
lørdag;2;0;0.018;0.0;-0.018
unge;2;0;0.018;0.0;-0.018
planter;2;0;0.019;0.0;-0.019
kulle;2;0;0.059;0.0;-0.059
historiker;0;2;0.0;0.032;0.032
greve;0;2;0.0;0.036;0.036
as;0;2;0.0;0.017;0.017
prof;0;2;0.0;0.019;0.019
kardinal;0;2;0.0;0.027;0.027
kirke;1;2;0.016;0.018;0.001
bygd;2;0;0.027;0.0;-0.027
opera;2;0;0.019;0.0;-0.019
astronom;2;1;0.019;0.018;-0.002
katolik;2;1;0.032;0.014;-0.018
fly;2;0;0.012;0.0;-0.012
skip;2;0;0.027;0.0;-0.027
seks;2;0;0.012;0.0;-0.012
sarah;2;0;0.021;0.0;-0.021
charlotte;2;0;0.003;0.0;-0.003
politik;2;0;0.021;0.0;-0.021
n;2;0;0.014;0.0;-0.014
uk;2;0;0.014;0.0;-0.014
avis;2;0;0.016;0.0;-0.016
lise;2;0;0.018;0.0;-0.018
arts;2;0;0.022;0.0;-0.022
nick;0;2;0.0;0.011;0.011
farmer;0;2;0.0;0.026;0.026
adam;0;2;0.0;0.007;0.007
noel;0;2;0.0;0.006;0.006
brian;0;2;0.0;0.003;0.003
gitarist;0;2;0.0;0.012;0.012
alf;0;2;0.0;0.011;0.011
mark;0;2;0.0;0.015;0.015
russisk;2;0;0.084;0.0;-0.084
kunst;2;0;0.015;0.0;-0.015
mare;2;0;0.017;0.0;-0.017
libero;0;2;0.0;0.067;0.067
sponsor;0;2;0.0;0.051;0.051
annan;0;2;0.0;0.016;0.016
historie;2;0;0.017;0.0;-0.017
kombinasjon;2;0;0.018;0.0;-0.018
rekonstruksjon;2;0;0.017;0.0;-0.017
gudinne;2;0;0.021;0.0;-0.021
blomst;2;0;0.013;0.0;-0.013
form;2;0;0.014;0.0;-0.014
dialekt;2;0;0.049;0.0;-0.049
andre;2;0;0.028;0.0;-0.028
smed;0;2;0.0;0.024;0.024
løve;0;2;0.0;0.013;0.013
fest;2;0;0.038;0.0;-0.038
bjørgen;2;0;0.092;0.0;-0.092
ambassadør;2;1;0.041;0.048;0.007
frivillige;2;1;0.031;0.032;0.001
deg;2;1;0.043;0.025;-0.018
anette;2;0;0.037;0.0;-0.037
sånn;2;1;0.033;0.026;-0.007
klubb;0;2;0.0;0.078;0.078
flyktning;0;2;0.0;0.046;0.046
stabil;0;2;0.0;0.042;0.042
kåre;0;2;0.0;0.048;0.048
kommentator;1;2;0.015;0.013;-0.002
skjønnhet;2;0;0.025;0.0;-0.025
perle;2;0;0.017;0.0;-0.017
konsulenter;0;2;0.0;0.026;0.026
følelse;1;0;0.025;0.0;-0.025
video;1;0;0.041;0.0;-0.041
tekst;1;0;0.025;0.0;-0.025
blog;1;0;0.012;0.0;-0.012
foto;1;0;0.007;0.0;-0.007
religion;1;0;0.012;0.0;-0.012
turist;1;0;0.042;0.0;-0.042
levende;1;0;0.022;0.0;-0.022
biolog;1;0;0.041;0.0;-0.041
kvinde;1;0;0.011;0.0;-0.011
song;1;0;0.018;0.0;-0.018
name;1;0;0.012;0.0;-0.012
ball;1;0;0.022;0.0;-0.022
fotball;1;1;0.009;0.017;0.008
stein;1;0;0.009;0.0;-0.009
af;1;0;0.016;0.0;-0.016
man;1;0;0.039;0.0;-0.039
lektor;1;0;0.03;0.0;-0.03
kjærlighet;0;1;0.0;0.014;0.014
match;1;1;0.086;0.01;-0.076
frø;0;1;0.0;0.06;0.06
traktor;0;1;0.0;0.015;0.015
2;0;1;0.0;0.03;0.03
3;0;1;0.0;0.018;0.018
20;0;1;0.0;0.017;0.017
gammel;0;1;0.0;0.019;0.019
dans;0;1;0.0;0.007;0.007
gate;0;1;0.0;0.014;0.014
dør;0;1;0.0;0.012;0.012
moderne;1;0;0.01;0.0;-0.01
et;1;0;0.022;0.0;-0.022
korte;1;1;0.01;0.009;-0.001
amerikansk;1;0;0.014;0.0;-0.014
puro;1;0;0.01;0.0;-0.01
heter;1;1;0.036;0.015;-0.021
virgin;1;0;0.022;0.0;-0.022
bengali;1;0;0.017;0.0;-0.017
..;1;1;0.024;0.017;-0.007
hadde;1;0;0.025;0.0;-0.025
kunne;1;0;0.018;0.0;-0.018
selvstendig;1;1;0.018;0.009;-0.008
joy;1;0;0.013;0.0;-0.013
jobber;1;0;0.021;0.0;-0.021
feminist;1;0;0.016;0.0;-0.016
chat;1;0;0.02;0.0;-0.02
matcher;1;0;0.179;0.0;-0.179
denne;1;0;0.024;0.0;-0.024
visas;1;0;0.022;0.0;-0.022
beskriver;1;0;0.022;0.0;-0.022
vakker;1;0;0.027;0.0;-0.027
guli;0;1;0.0;0.024;0.024
jon;0;1;0.0;0.019;0.019
hot;0;1;0.0;0.015;0.015
fan;0;1;0.0;0.024;0.024
rebel;0;1;0.0;0.021;0.021
teenager;0;1;0.0;0.02;0.02
polis;0;1;0.0;0.022;0.022
type;0;1;0.0;0.013;0.013
som;0;1;0.0;0.021;0.021
,;0;1;0.0;0.007;0.007
pseudonym;1;0;0.069;0.0;-0.069
nunatak;1;0;0.112;0.0;-0.112
medlem;1;0;0.025;0.0;-0.025
tanar;1;0;0.024;0.0;-0.024
komet;1;0;0.08;0.0;-0.08
meteor;1;0;0.03;0.0;-0.03
sadan;1;0;0.018;0.0;-0.018
dyr;1;0;0.019;0.0;-0.019
orkideart;1;0;0.011;0.0;-0.011
kanal;1;0;0.055;0.0;-0.055
ceo;1;0;0.033;0.0;-0.033
insektsart;1;0;0.026;0.0;-0.026
arhitekt;1;0;0.026;0.0;-0.026
serie;1;0;0.005;0.0;-0.005
producent;0;1;0.0;0.015;0.015
drake;0;1;0.0;0.011;0.011
jason;0;1;0.0;0.01;0.01
consul;0;1;0.0;0.018;0.018
backup;0;1;0.0;0.023;0.023
ven;0;1;0.0;0.023;0.023
vektor;0;1;0.0;0.036;0.036
symbol;1;1;0.045;0.018;-0.028
mate;0;1;0.0;0.027;0.027
vei;0;1;0.0;0.129;0.129
moh;0;1;0.0;0.112;0.112
##edt;0;1;0.0;0.05;0.05
ca;0;1;0.0;0.03;0.03
norge;1;0;0.012;0.0;-0.012
vind;1;0;0.018;0.0;-0.018
bin;1;0;0.017;0.0;-0.017
sign;1;0;0.027;0.0;-0.027
seg;1;0;0.013;0.0;-0.013
teddy;1;0;0.009;0.0;-0.009
familien;1;0;0.017;0.0;-0.017
barne;1;0;0.024;0.0;-0.024
mand;1;0;0.019;0.0;-0.019
engelsk;1;1;0.012;0.015;0.003
hannah;1;0;0.026;0.0;-0.026
lucy;1;0;0.007;0.0;-0.007
brit;1;0;0.01;0.0;-0.01
bulgarien;1;0;0.043;0.0;-0.043
stat;1;0;0.041;0.0;-0.041
ek;1;0;0.004;0.0;-0.004
sol;1;0;0.004;0.0;-0.004
grein;1;0;0.048;0.0;-0.048
vok;1;0;0.019;0.0;-0.019
