ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
musikk;6;2;0.023;0.012;-0.011
anna;6;0;0.03;0;-0.03
marte;6;0;0.045;0;-0.045
sam;1;6;0.012;0.007;-0.005
ella;6;0;0.1;0;-0.1
peder;0;6;0;0.038;0.038
jonas;0;6;0;0.055;0.055
ryan;0;6;0;0.004;0.004
einar;0;6;0;0.052;0.052
storm;5;1;0.024;0.038;0.014
##k;5;0;0.021;0;-0.021
klasse;5;1;0.019;0.022;0.003
spiller;4;5;0.013;0.02;0.007
de;5;1;0.011;0.013;0.002
e;5;0;0.015;0;-0.015
senator;5;0;0.016;0;-0.016
filosof;5;0;0.018;0;-0.018
ham;1;5;0.011;0.012;0.001
bil;5;0;0.01;0;-0.01
li;5;0;0.012;0;-0.012
mon;5;0;0.009;0;-0.009
norsk;1;5;0.02;0.025;0.005
luke;0;5;0;0.008;0.008
charlie;0;5;0;0.005;0.005
ridder;0;5;0;0.021;0.021
elias;0;5;0;0.04;0.04
sander;0;5;0;0.084;0.084
prins;4;4;0.027;0.025;-0.002
s;4;4;0.017;0.014;-0.003
beste;4;0;0.027;0;-0.027
skole;4;0;0.013;0;-0.013
ada;4;0;0.076;0;-0.076
kamp;4;0;0.015;0;-0.015
lilly;4;0;0.004;0;-0.004
anita;4;0;0.03;0;-0.03
pr;4;2;0.008;0.013;0.005
ting;1;4;0.02;0.009;-0.011
linje;4;0;0.014;0;-0.014
film;1;4;0.012;0.013;0.001
sean;0;4;0;0.006;0.006
jacob;0;4;0;0.012;0.012
kandidat;3;2;0.017;0.016;-0.001
fl;3;1;0.024;0.017;-0.007
mineral;3;0;0.03;0;-0.03
sv;3;1;0.041;0.031;-0.01
model;3;0;0.006;0;-0.006
ol;2;3;0.005;0.006;0.001
fred;0;3;0;0.012;0.012
mr;0;3;0;0.007;0.007
agent;0;3;0;0.013;0.013
marcus;0;3;0;0.014;0.014
katolik;2;1;0.032;0.014;-0.018
fly;2;0;0.012;0;-0.012
svensk;2;0;0.013;0;-0.013
skip;2;0;0.027;0;-0.027
voksne;2;0;0.019;0;-0.019
diplomat;1;2;0.019;0.016;-0.003
seks;2;0;0.012;0;-0.012
