ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
lærer;1741;1371;0.146;0.134;-0.012
sykepleier;1630;720;0.13;0.061;-0.069
journalist;1242;924;0.066;0.065;-0.001
mamma;742;271;0.071;0.054;-0.017
frivillig;651;250;0.065;0.049;-0.016
assistent;516;374;0.055;0.048;-0.007
skuespiller;494;271;0.06;0.064;0.004
sekretær;346;119;0.06;0.047;-0.013
pappa;12;316;0.035;0.049;0.014
modell;312;31;0.063;0.039;-0.024
mor;269;64;0.043;0.033;-0.01
politimann;4;228;0.025;0.041;0.016
trener;40;224;0.043;0.051;0.008
lege;78;198;0.035;0.041;0.006
brannmann;39;183;0.038;0.053;0.015
psykolog;170;143;0.039;0.039;0.0
selger;169;36;0.041;0.045;0.004
det;19;117;0.034;0.04;0.006
bonde;17;115;0.041;0.052;0.011
barn;11;97;0.037;0.046;0.009
kvinne;96;2;0.05;0.051;0.001
prest;30;95;0.043;0.036;-0.007
vikar;87;59;0.052;0.05;-0.002
vanlig;83;81;0.035;0.029;-0.006
annen;78;68;0.114;0.144;0.03
pilot;5;78;0.037;0.042;0.005
jente;69;4;0.073;0.034;-0.039
mann;39;69;0.048;0.11;0.062
manager;3;57;0.041;0.045;0.004
fotballspiller;14;56;0.071;0.041;-0.03
henne;51;3;0.04;0.039;-0.001
gutt;10;48;0.034;0.072;0.038
advokat;34;46;0.04;0.039;-0.001
vinner;34;45;0.073;0.06;-0.013
tolk;44;25;0.042;0.037;-0.005
avisbud;22;43;0.068;0.04;-0.028
før;26;43;0.038;0.033;-0.005
rektor;16;42;0.033;0.036;0.003
fotograf;23;40;0.044;0.035;-0.009
mester;27;35;0.041;0.048;0.007
politi;9;33;0.028;0.036;0.008
person;6;31;0.037;0.048;0.011
homofil;0;29;0;0.051;0.051
student;28;25;0.046;0.039;-0.007
normalt;6;20;0.044;0.045;0.001
ingeniør;19;20;0.03;0.039;0.009
wenche;19;0;0.293;0;-0.293
ting;18;1;0.043;0.027;-0.016
meg;5;18;0.037;0.029;-0.008
konsulent;17;5;0.036;0.028;-0.008
henrik;0;17;0;0.079;0.079
hund;16;5;0.045;0.053;0.008
fisker;16;13;0.059;0.041;-0.018
programleder;16;15;0.061;0.03;-0.031
planlagt;1;16;0.023;0.031;0.008
vekter;3;15;0.028;0.041;0.013
assistenttrener;6;15;0.042;0.034;-0.008
venn;8;14;0.037;0.034;-0.003
leder;1;14;0.033;0.025;-0.008
sjåfør;4;11;0.032;0.032;0.0
skiskytter;0;11;0;0.05;0.05
rådgiver;9;10;0.029;0.029;0.0
trenere;0;10;0;0.051;0.051
far;0;9;0;0.032;0.032
thomas;0;9;0;0.065;0.065
aksel;0;9;0;0.056;0.056
lag;0;9;0;0.057;0.057
oss;5;8;0.032;0.042;0.01
venninne;8;0;0.032;0;-0.032
hovedtrener;1;8;0.026;0.032;0.006
emil;0;8;0;0.141;0.141
ham;0;8;0;0.032;0.032
lensmann;0;8;0;0.038;0.038
regissør;4;7;0.034;0.033;-0.001
datter;7;0;0.045;0;-0.045
reporter;3;7;0.031;0.037;0.006
dem;0;7;0;0.052;0.052
dame;6;0;0.043;0;-0.043
kunstner;6;2;0.041;0.015;-0.026
sang;5;0;0.06;0;-0.06
voksen;1;5;0.041;0.033;-0.008
isak;0;5;0;0.052;0.052
fugl;4;0;0.194;0;-0.194
statsråd;4;0;0.06;0;-0.06
ener;3;4;0.053;0.037;-0.016
maskin;4;1;0.039;0.041;0.002
prosjektleder;3;4;0.032;0.036;0.004
venner;0;4;0;0.03;0.03
petter;0;4;0;0.051;0.051
han;0;4;0;0.028;0.028
fyr;0;4;0;0.037;0.037
spiller;0;4;0;0.029;0.029
dommer;0;4;0;0.038;0.038
martin;0;4;0;0.042;0.042
landslagssjef;0;4;0;0.029;0.029
søker;3;0;0.028;0;-0.028
innsjø;3;0;0.056;0;-0.056
drøm;3;0;0.04;0;-0.04
forfatter;3;1;0.026;0.033;0.007
megler;2;3;0.03;0.029;-0.001
inga;3;0;0.045;0;-0.045
forsker;3;0;0.03;0;-0.03
landslagstrener;3;1;0.033;0.031;-0.002
mary;3;0;0.037;0;-0.037
agent;3;1;0.037;0.04;0.003
magnus;0;3;0;0.114;0.114
jakob;0;3;0;0.058;0.058
fotballspillere;0;3;0;0.032;0.032
kommune;2;0;0.134;0;-0.134
by;2;0;0.332;0;-0.332
deg;2;1;0.043;0.025;-0.018
familie;2;2;0.027;0.029;0.002
politiker;2;0;0.027;0;-0.027
katt;2;0;0.02;0;-0.02
art;2;0;0.332;0;-0.332
slekt;2;0;0.042;0;-0.042
anette;2;0;0.037;0;-0.037
produsent;1;2;0.048;0.05;0.002
bjørgen;2;0;0.092;0;-0.092
ambassadør;2;1;0.041;0.048;0.007
sånn;2;1;0.033;0.026;-0.007
nora;2;0;0.025;0;-0.025
gerd;2;0;0.038;0;-0.038
linda;2;0;0.048;0;-0.048
julie;2;0;0.026;0;-0.026
kriger;1;2;0.02;0.052;0.032
frivillige;2;1;0.031;0.032;0.001
konge;0;2;0;0.042;0.042
stabil;0;2;0;0.042;0.042
sønn;0;2;0;0.05;0.05
flyktning;0;2;0;0.046;0.046
kåre;0;2;0;0.048;0.048
klubb;0;2;0;0.078;0.078
tid;1;0;0.039;0;-0.039
bok;1;0;0.025;0;-0.025
kamp;1;0;0.024;0;-0.024
folk;1;0;0.032;0;-0.032
kvinner;1;0;0.024;0;-0.024
mennesker;1;0;0.021;0;-0.021
fest;1;0;0.055;0;-0.055
dag;1;0;0.042;0;-0.042
nestleder;1;0;0.018;0;-0.018
emma;1;0;0.035;0;-0.035
plante;1;0;0.039;0;-0.039
instruktør;1;0;0.025;0;-0.025
sanger;1;0;0.039;0;-0.039
singel;1;0;0.035;0;-0.035
skog;1;0;0.044;0;-0.044
elin;1;0;0.037;0;-0.037
musiker;1;0;0.03;0;-0.03
roman;1;0;0.03;0;-0.03
selvfølge;1;0;0.019;0;-0.019
gave;1;0;0.018;0;-0.018
marit;1;0;0.077;0;-0.077
same;1;0;0.038;0;-0.038
engel;1;1;0.032;0.043;0.011
kristin;1;0;0.04;0;-0.04
landsby;1;0;0.043;0;-0.043
øy;1;0;0.022;0;-0.022
trend;1;0;0.027;0;-0.027
historie;1;0;0.022;0;-0.022
gris;1;0;0.023;0;-0.023
kommentator;1;0;0.029;0;-0.029
anna;1;0;0.039;0;-0.039
kaptein;0;1;0;0.025;0.025
svømmer;0;1;0;0.072;0.072
lucas;0;1;0;0.044;0.044
lagkamerat;0;1;0;0.03;0.03
sjef;0;1;0;0.017;0.017
harald;0;1;0;0.04;0.04
daniel;0;1;0;0.035;0.035
bror;0;1;0;0.033;0.033
president;0;1;0;0.026;0.026
helt;0;1;0;0.024;0.024
selvstendig;0;1;0;0.019;0.019
kompis;0;1;0;0.025;0.025
team;0;1;0;0.03;0.03
kristoffer;0;1;0;0.062;0.062
oskar;0;1;0;0.019;0.019
soldat;0;1;0;0.033;0.033
william;0;1;0;0.038;0.038
journalister;0;1;0;0.016;0.016
alexander;0;1;0;0.094;0.094
filip;0;1;0;0.069;0.069
kasper;0;1;0;0.035;0.035
