OCCUPATION;p(SHE);p(HE);ppbs
skipsmotormekaniker;0.011;0.989;0.978
motormekaniker;0.012;0.988;0.976
mur-og flislegger;0.01;0.99;0.98
musiker;0.414;0.586;0.172
musikkpedagog;0.564;0.436;-0.128
møbelsnekker;0.095;0.905;0.81
møbeltapetserer;0.292;0.708;0.416
naturforvalter;0.169;0.831;0.662
negledesigner;0.954;0.046;-0.908
mattekniker;0.647;0.353;-0.294
optiker;0.643;0.357;-0.286
organist/kantor;0.398;0.602;0.204
ortoped;0.229;0.771;0.542
ortopediingeniør;0.577;0.423;-0.154
ortopeditekniker;0.349;0.651;0.302
oversetter;0.616;0.384;-0.232
personalsjef;0.694;0.306;-0.388
petroleumsingeniør;0.207;0.793;0.586
pilot;0.045;0.955;0.91
platearbeider;0.012;0.988;0.976
politi;0.374;0.626;0.252
politibetjent;0.356;0.644;0.288
politijurist;0.541;0.459;-0.082
politiker;0.517;0.483;-0.034
portør;0.268;0.732;0.464
postbud;0.424;0.576;0.152
prest;0.335;0.665;0.33
professor;0.332;0.668;0.336
fagoperatør i kjemisk prosessindustri (prosesstekniker);0.15;0.85;0.7
psykiater;0.553;0.447;-0.106
psykolog;0.755;0.245;-0.51
radiograf;0.743;0.257;-0.486
radiolog;0.419;0.581;0.162
redaktør;0.497;0.503;0.006
regissør;0.451;0.549;0.098
regnskapsfører;0.737;0.263;-0.474
reiselivsmedarbeider;0.676;0.324;-0.352
reiseleder;0.53;0.47;-0.06
renholdsoperatør;0.774;0.226;-0.548
resepsjonist;0.591;0.409;-0.182
reseptarfarmasøyt;0.816;0.184;-0.632
revisor;0.487;0.513;0.026
ridelærer;0.913;0.087;-0.826
rørlegger;0.014;0.986;0.972
saksbehandler;0.737;0.263;-0.474
samfunnsøkonom;0.484;0.516;0.032
sanger;0.582;0.418;-0.164
scenograf;0.691;0.309;-0.382
servitør;0.631;0.369;-0.262
sivilingeniør;0.214;0.786;0.572
siviløkonom;0.505;0.495;-0.01
maritim elektriker;0.012;0.988;0.976
skipsmegler;0.135;0.865;0.73
skoleassistent;0.699;0.301;-0.398
rektor/skoleleder;0.587;0.413;-0.174
skomaker;0.303;0.697;0.394
skuespiller;0.499;0.501;0.002
slakter;0.19;0.81;0.62
smed;0.235;0.765;0.53
sminkør;0.867;0.133;-0.734
sosialantropolog;0.563;0.437;-0.126
sosiolog;0.58;0.42;-0.16
sosionom;0.773;0.227;-0.546
speditør;0.269;0.731;0.462
spesialpedagog;0.928;0.072;-0.856
statsviter;0.566;0.434;-0.132
stipendiat;0.53;0.47;-0.06
styrmann;0.032;0.968;0.936
sveiser;0.027;0.973;0.946
sykepleier;0.896;0.104;-0.792
sølvsmed;0.544;0.456;-0.088
takstmann;0.042;0.958;0.916
tak- og membrantekker;0.009;0.991;0.982
tannhelsesekretær;0.972;0.028;-0.944
tannlege;0.61;0.39;-0.22
tannpleier;0.974;0.026;-0.948
tanntekniker;0.527;0.473;-0.054
tavlemontør;0.076;0.924;0.848
