Year;Rank 1;Rank 2;Rank 3;Rank 4;Rank 5;Rank 6;Rank 7;Rank 8;Rank 9;Rank 10
1932;ASTRID;BJØRG;INGER;GERD;SOLVEIG;RAGNHILD;ELSE;ANNE;INGRID;KARI
1933;ASTRID;BJØRG;INGER;SOLVEIG;GERD;ANNE;RAGNHILD;KARI;ELSE;ÅSE
1934;BJØRG;ASTRID;INGER;GERD;KARI;ANNE;SOLVEIG;RAGNHILD;LIV;ÅSE
1935;BJØRG;ASTRID;INGER;GERD;ANNE;LIV;KARI;BERIT;SOLVEIG;ELSE
1936;BJØRG;GERD;ASTRID;INGER;ANNE;KARI;LIV;BERIT;SOLVEIG;ELSE
1937;INGER;BJØRG;ANNE;GERD;ASTRID;KARI;LIV;BERIT;SOLVEIG;ELSE
1938;BJØRG;INGER;ANNE;GERD;KARI;BERIT;ASTRID;LIV;MARIT;SOLVEIG
1939;BJØRG;ANNE;INGER;KARI;GERD;LIV;BERIT;ASTRID;MARIT;TURID
1940;ANNE;BJØRG;INGER;KARI;LIV;GERD;BERIT;MARIT;ASTRID;TURID
1941;ANNE;INGER;BJØRG;KARI;GERD;LIV;BERIT;MARIT;TURID;ASTRID
1942;ANNE;INGER;KARI;BJØRG;LIV;MARIT;BERIT;GERD;TURID;ASTRID
1943;ANNE;INGER;LIV;KARI;BJØRG;BERIT;GERD;TURID;MARIT;GRETHE
1944;ANNE;INGER;LIV;KARI;BJØRG;BERIT;MARIT;ASTRID;GRETHE;EVA
1945;ANNE;INGER;LIV;KARI;MARIT;BJØRG;GRETHE;BERIT;EVA;ASTRID
1946;ANNE;INGER;KARI;LIV;MARIT;BJØRG;TORILL;BERIT;EVA;GRETHE
1947;ANNE;INGER;KARI;LIV;TORILL;MARIT;BJØRG;BERIT;GRETHE;GERD
1948;ANNE;INGER;TORILL;LIV;MARIT;KARI;BERIT;GRETHE;BJØRG;RANDI
1949;ANNE;INGER;TORILL;KARI;MARIT;LIV;BERIT;GRETHE;BJØRG;RANDI
1950;ANNE;INGER;MARIT;TORILL;LIV;KARI;BERIT;GRETHE;BJØRG;RANDI
1951;ANNE;INGER;MARIT;KARI;TORILL;LIV;BERIT;GRETHE;EVA;RANDI
1952;ANNE;INGER;TORILL;KARI;MARIT;LIV;EVA;GRETHE;BERIT;RANDI
1953;ANNE;INGER;KARI;MARIT;LIV;TORILL;GRETHE;BENTE;EVA;BERIT
1954;ANNE;INGER;MARIT;LIV;KARI;BENTE;TORILL;GRETHE;EVA;BERIT
1955;ANNE;INGER;BENTE;MARIT;KARI;LIV;TORILL;GRETHE;WENCHE;BERIT
1956;ANNE;BENTE;INGER;GRETHE;KARI;TORILL;MARIT;LIV;WENCHE;TOVE
1957;ANNE;INGER;BENTE;TORILL;GRETHE;MARIT;KARI;TOVE;LIV;WENCHE
1958;ANNE;BENTE;INGER;GRETHE;KARI;TORILL;MARIT;LIV;TOVE;EVA
1959;ANNE;BENTE;KARI;INGER;GRETHE;MARIT;TOVE;TORILL;EVA;MARIANNE
1960;ANNE;BENTE;INGER;MARIT;KARI;HILDE;TOVE;GRETHE;NINA;LIV
1961;ANNE;BENTE;INGER;KARI;MARIT;HILDE;NINA;TOVE;HEIDI;LIV
1962;ANNE;BENTE;HILDE;KARI;MARIT;NINA;INGER;HEIDI;TOVE;ANITA
1963;ANNE;HILDE;HEIDI;ANITA;NINA;KARI;INGER;MARIT;BENTE;TONE
1964;ANNE;HILDE;NINA;HEIDI;BENTE;KRISTIN;INGER;MARIANNE;MARIT;ANITA
1965;ANNE;HEIDI;HILDE;BENTE;NINA;ANITA;KRISTIN;MARIANNE;TOVE;MARIT
1966;ANNE;NINA;HILDE;ANITA;MARIANNE;BENTE;HEIDI;KRISTIN;TONE;MONA
1967;ANNE;HILDE;NINA;KRISTIN;MARIANNE;ANITA;BENTE;HEIDI;TONE;ANN
1968;ANNE;HILDE;HEIDI;MARIANNE;NINA;ANITA;TONE;BENTE;MONICA;KRISTIN
1969;ANNE;HEIDI;HILDE;NINA;MONICA;TONE;ANITA;MARIANNE;HEGE;KRISTIN
1970;ANNE;HEGE;HILDE;MONICA;ANITA;NINA;HEIDI;MARIANNE;TONE;KRISTIN
1971;ANNE;MONICA;HEGE;NINA;HILDE;ANITA;HEIDI;MARIANNE;LINDA;TONE
1972;MONICA;ANNE;HEGE;LINDA;NINA;ANITA;HILDE;HEIDI;KRISTIN;MARIANNE
1973;ANNE;HEGE;MONICA;LINDA;NINA;HILDE;ANITA;KRISTIN;MARIANNE;HEIDI
1974;ANNE;LINDA;MONICA;HEGE;ELIN;MARIANNE;HILDE;NINA;KRISTIN;ANITA
1975;LINDA;ANNE;MONICA;HEGE;ELIN;KRISTIN;HILDE;MARIANNE;LINE;NINA
1976;ANNE;MONICA;LINDA;LENE;CAMILLA;ELISABETH;KATRINE;MARIANNE;KRISTIN;ELIN
1977;LINDA;ANNE;CAMILLA;MONICA;KRISTIN;KATRINE;MARIANNE;ELISABETH;HILDE;HEGE
1978;LINDA;ANNE;CAMILLA;KATRINE;MARIANNE;MONICA;KRISTIN;ELISABETH;HEIDI;NINA
1979;ANNE;CAMILLA;LINDA;KATRINE;ELISABETH;MONICA;LENE;MARIANNE;HILDE;KRISTIN
1980;ANNE;CAMILLA;KATRINE;MARIANNE;LINDA;ELISABETH;LENE;KRISTIN;MONICA;SILJE
1981;ANNE;MARIANNE;KRISTINE;LINDA;CAMILLA;SILJE;KATRINE;MONICA;ELISABETH;KRISTIN
1982;ANETTE;SILJE;ANNE;KRISTINE;MARIANNE;KATRINE;LINDA;CAMILLA;KRISTIN;LINN
1983;SILJE;KRISTINE;ANNE;LINN;KATRINE;CAMILLA;LINDA;MARIANNE;KRISTIN;ANETTE
1984;SILJE;LINN;KRISTINE;ANNE;ANETTE;CAMILLA;IDA;KATRINE;LINDA;MARIANNE
1985;SILJE;KRISTINE;IDA;STINE;ANETTE;CAMILLA;KATRINE;LINN;LINDA;ANNE
1986;SILJE;KATRINE;IDA;KRISTINE;STINE;LINN;CAMILLA;ANETTE;ANNE;MARTE
1987;SILJE;KRISTINE;IDA;KATRINE;CAMILLA;STINE;LINN;MARTE;ANETTE;ANNE
1988;KRISTINE;IDA;CAMILLA;SILJE;KATRINE;KAROLINE;STINE;LINN;MARTE;CHRISTINA
1989;CAMILLA;IDA;SILJE;KAROLINE;KRISTINE;MARTE;STINE;KATRINE;CHRISTINA;LINN
1990;IDA;KAROLINE;MARTE;SILJE;CAMILLA;KRISTINE;STINE;KATRINE;MARIA;CHRISTINA
1991;SILJE;MARTE;KAROLINE;IDA;KRISTINE;CAMILLA;MARIA;STINE;KATRINE;INGRID
1992;IDA;CAMILLA;SILJE;MARTE;KAROLINE;KRISTINE;MARIA;KATRINE;STINE;INGRID
