Occupations;female;male
Reseptarfarmasøyt;81,6;18,4
Revisor;48,7;51,3
Ridelærer;91,3;8,7
Rørlegger;1,4;98,6
Saksbehandler;73,7;26,3
Samfunnsøkonom;48,4;51,6
Sanger;58,2;41,8
Scenograf;69,1;30,9
Servitør;63,1;36,9
Sivilingeniør;21,4;78,6
Siviløkonom;50,5;49,5
Maritim elektriker;1,2;98,8
Skipsmegler;13,5;86,5
Skoleassistent;69,9;30,1
Rektor/skoleleder;58,7;41,3
Skomaker;30,3;69,7
Skuespiller;49,9;50,1
Slakter;19;81
Smed;23,5;76,5
Sminkør;86,7;13,3
Sosialantropolog;56,3;43,7
Sosiolog;58;42
Sosionom;77,3;22,7
Speditør;26,9;73,1
Spesialpedagog;92,8;7,2
Statsviter;56,6;43,4
Stipendiat;53;47
Styrmann;3,2;96,8
Sveiser;2,7;97,3
Sykepleier;89,6;10,4
Sølvsmed;54,4;45,6
Takstmann;4,2;95,8
Tak- og membrantekker;0,9;99,1
Tannhelsesekretær;97,2;2,8
Tannlege;61;39
Tannpleier;97,4;2,6
Tanntekniker;52,7;47,3
Tavlemontør;7,6;92,4
Taxisjåfør;10,7;89,3
Teknisk tegner;37,4;62,6
Tekstforfatter;54,7;45,3
Telekommunikasjonsmontør;4,9;95,1
Toller;47,1;52,9
Trafikklærer;23,8;76,2
TV-fotograf;32,2;67,8
Tømrer;1,1;98,9
Urmaker;13,8;86,2
Byggdrifter / vaktmester;9,7;90,3
Vekter;23,8;76,2
Verktøymaker;1,1;98,9
Vernepleier;75,9;24,1
Veterinær;77,9;22,1
Webdesigner;42,3;57,7
Økonom;62;38
Økonomisjef;34,8;65,2
Mediegrafiker;49,2;50,8
Kjøttskjærer;4,9;95,1
Finmekaniker;8,3;91,7
Båtbygger;6,8;93,2
Låsesmed;2,4;97,6
Sjømathandler;40,9;59,1
Asfaltør;8,4;91,6
Banemontør;4,8;95,2
Signalmontør;2,5;97,5
Betongfagarbeider;1,1;98,9
Reservedelsekspeditør;12,5;87,5
IKT-servicemedarbeider;27,5;72,5
Herreskredder;69,9;30,1
Ernæringskokk;78,4;21,6
Produksjonselektroniker;32,8;67,2
Brønnoperatør sementering;2,5;97,5
Elektroreparatør;9,2;90,8
Bunadtilvirker;95,1;4,9
Stillasbygger;0,6;99,4
Bilskadereparatør;1,9;98,1
Fjell- og bergverksarbeider;5,6;94,4
Anleggsmaskinmekaniker;1,2;98,8
Hestefaglært;82,6;17,4
Flysystemmekaniker;5,2;94,8
Fagoperatør i limtreproduksjonsfaget;13,1;86,9
Skogsoperatør;5,5;94,5
Bore- og vedlikeholdsoperatør;8,4;91,6
Gipsmaker;3,1;96,9
Seilmaker;47,8;52,2
Landbruksmaskinmekaniker;3,1;96,9
Glassfagarbeider;7,3;92,7
Steinfagarbeider;5,2;94,8
Serigraf;21,7;78,3
Energioperatør;6,2;93,8
Tekstilrenser;63,5;36,5
Garver;67,4;32,6
Aluminiumskonstruktør;13,9;86,1
Dataelektroniker;9,8;90,2
Vei- og anleggsarbeider;4,9;95,1
Litteraturviter;59,6;40,4
Spillprogrammerer;12;88
Gravferdskonsulent;42,1;57,9
Byggingeniør;18,5;81,5
Brønnoperatør havbunnsinstallasjoner;3,2;96,8
Kunsthistoriker;62,2;37,8
Avisbud;13,3;86,7
Idrettsutøver;19,5;80,5
Havnesjef;13,5;86,5
Fotballdommer;51,7;48,3
Sportsdommer;51,7;48,3
Miljøterapeut;69,8;30,2
Psykoterapeut;75,4;24,6
Manuellterapeut;31,4;68,6
Økonomikonsulent;59,5;40,5
CNC-operatør;10,1;89,9
Kjeveortoped;46,1;53,9
Anestesisykepleier;71,7;28,3
Vikler;12,3;87,7
Menighetspedagog;69,2;30,8
Kirkeverge;51,8;48,2
Utmarksforvalter;9,4;90,6
Landbrukssjef;51,9;48,1
Planteinspektør;71,9;28,1
Landbruksrådgiver;47,5;52,5
Mikrobiolog;78,8;21,2
Vinkelner;31,8;68,2
Finansanalytiker;45;55
Flyinstruktør;10,6;89,4
Intensivsykepleier;87,4;12,6
Dramaturg;66,7;33,3
Marin bioteknolog;61,2;38,8
Samfunnsgeograf;55;45
Klinisk sosionom;85,4;14,6
Reindriftsutøver;9,5;90,5
Barne- og ungdomspsykiater;55,3;44,7
Billedkunstner;56,4;43,6
Kunst- og kulturformidler;65,9;34,1
Lokomotivfører;7,1;92,9
Trikkefører;22,7;77,3
Undervisningsinspektør;64,6;35,4
Misjonær;42,8;57,2
Branningeniør;9,6;90,4
Farmasøyt;81,4;18,6
Rådgiver i offentlig sektor;63,2;36,8
Museumsformidler;67,5;32,5
Komposittbåtbygger;15,9;84,1
Trebåtbygger;6,2;93,8
Antikvar;56,1;43,9
Instrumentalpedagog;54,7;45,3
Fagoperatør i trelastfaget;11,4;88,6
Maskinist;2,8;97,2
Kommunikasjonsrådgiver;62;38
Driftsoperatør i idrettsanlegg;18,3;81,7
Dimensjonskontrollør;7,3;92,7
Fagoperatør i fiskeredskapsfaget;35,1;64,9
Fagarbeider industriell matproduksjon;35,3;64,7
Chassispåbygger;1,2;98,8
Bilmekaniker (tunge kjøretøy);1,3;98,7
Fagarbeider sjømatproduksjon;37;63
Industrisnekker;9,9;90,1
Strikkehåndverker;100;0
Eksponeringsdesigner;82;18
Flystrukturmekaniker;5,2;94,8
Vaskerioperatør;59,3;40,7
Maskinsjef;0,6;99,4
Prosessingeniør;22,2;77,8
Kurator;65,1;34,9
Rekvisitør;26,9;73,1
Musikkterapeut;60;40
Musikkprodusent;23,2;76,8
Brønnoperatør for mekaniske kabeloperasjoner;8,8;91,2
Allmennlege;39,2;60,8
Overstyrmann;3,1;96,9
Hjemmehjelp;89;11
Kaptein;1;99
Personlig trener;65,6;34,4
