COUNT;HORN RULES (filtered)
1/2;mellom 30 og 40 & Bodø & kvinne ---> FALSE
1/2;musiker & Bergen & mellom 30 og 40 & kvinne ---> FALSE
1/2;musiker & Oslo & Afrika & kvinne ---> FALSE
1/2;musiker & Ålesund & Nord Amerika & kvinne ---> FALSE
1/2;psykolog & Trondheim & Europa & kvinne & mellom 50 og 60 ---> FALSE
1/2;sykepleier & mann ---> FALSE
1/2;yngre enn 20 & Bodø & kvinne ---> FALSE
1/2;Ålesund & Asia & kvinne & mellom 40 og 50 ---> FALSE
1/2;Ålesund & kvinne & rørlegger ---> FALSE
1/2;Ålesund & mann & modell ---> FALSE
