COUNT;HORN RULES (filtered)
1/6;Ålesund & Asia & kvinne ---> eldre enn 60
1/6;Ålesund & Asia & kvinne ---> modell
1/6;Bergen & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
1/6;Bodø & kvinne & eldre enn 60 ---> FALSE
1/6;Kristiansand & mellom 30 og 40 & Asia & kvinne ---> FALSE
1/6;Stavanger & mellom 30 og 40 & Nord Amerika & kvinne ---> FALSE
1/6;Tromsø & Australia & kvinne ---> FALSE
1/6;frisør & Asia & mann ---> FALSE
1/6;frisør & Kristiansand & mann ---> FALSE
1/6;frisør & Tromsø & Europa & mann ---> FALSE
1/6;frisør & Trondheim & mann ---> FALSE
1/6;frisør & mann & mellom 40 og 50 ---> FALSE
1/6;frisør & Ålesund & mann & eldre enn 60 ---> FALSE
1/6;mellom 20 og 30 & Afrika & kvinne ---> FALSE
1/6;mellom 20 og 30 & frisør & mann ---> FALSE
1/6;yngre enn 20 & Bodø & Europa & kvinne ---> FALSE
1/6;Ålesund & Europa & kvinne ---> FALSE
1/6;Ålesund & kvinne & mellom 40 og 50 ---> FALSE
